sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateDpd_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateDpd_expanded672,pd_winner_before,pd_winner_after_candidateDpd_expanded672,mt_winner_before,mt_winner_after_candidateDpd_expanded672,was_mt_gan_win_before
143,143,31.729557469133276,25.608920781987035,33.21924994635254,5.864097595214844,9.649337768554688,6.849758148193359,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,33.84598532944112,5.560759544372559,9.771649360656738,6.000586986541748,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,32.52773042703913,5.902344226837158,8.558032035827637,6.413402080535889,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,31.622513328248147,5.959416389465332,7.056334018707275,6.852281093597412,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,29.27190339655358,5.6108717918396,6.8347039222717285,6.271339416503906,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,28.84007129344994,5.0148024559021,8.882506370544434,5.537680149078369,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,27.63035760655034,5.752551078796387,8.038224220275879,6.382401943206787,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,26.294141632371563,5.291886329650879,7.924254417419434,5.731736183166504,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,25.93897283064447,5.580901145935059,7.460690975189209,6.0866546630859375,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,26.203291817544816,5.931854248046875,8.478921890258789,5.836772918701172,gan,gan,cnn,candidateDpd_expanded672,0
153,153,25.168802860244767,16.23765159094386,26.224100631282255,6.290019989013672,6.548172950744629,6.626781463623047,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,26.03818555638794,5.889771461486816,5.736759185791016,6.296319484710693,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,26.622155555031874,6.413660526275635,6.612644195556641,6.3071208000183105,gan,gan,cnn,candidateDpd_expanded672,0
156,156,25.16401321091786,17.879759557761357,26.06846400169658,5.162914276123047,9.264598846435547,5.5303497314453125,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,26.970010587311435,4.567626476287842,8.282842636108398,5.3122076988220215,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,28.785395762937974,5.708489894866943,8.312358856201172,6.417165756225586,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,26.067112550534457,5.012121677398682,10.700226783752441,5.799592971801758,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,23.308409320024364,5.1832075119018555,13.9108247756958,5.909608364105225,gan,gan,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,21.626505818603686,5.7158894538879395,11.7100830078125,4.678044319152832,gan,gan,cnn,candidateDpd_expanded672,0
162,162,18.27105324592802,19.457879947992573,20.160857445729068,4.5405659675598145,9.695740699768066,4.490620136260986,cnn,cnn,cnn,candidateDpd_expanded672,0
163,163,19.37037318892002,20.44637029980189,21.27937352123644,5.698920726776123,6.788956165313721,4.7373504638671875,cnn,cnn,cnn,candidateDpd_expanded672,0
164,164,21.46365087746109,18.82963529736202,23.75691469853999,5.2430009841918945,10.968896865844727,5.690972805023193,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,25.613273534679774,5.059387683868408,11.26945972442627,6.27132511138916,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,26.609812913129492,6.106489181518555,10.583955764770508,5.538632392883301,gan,gan,cnn,candidateDpd_expanded672,0
167,167,23.479887971191566,21.661112948338108,26.67603106428461,5.800627708435059,7.244186878204346,5.189915657043457,gan,gan,cnn,candidateDpd_expanded672,0
