method_id,metric,cnn_mean,candidate_mean,mean_raw_delta,mean_improvement_delta,median_improvement_delta,n_improved,n_worsened,n_tied,n_valid
speed_only,grad_w1,0.23294292018237558,0.24909343584849447,0.01615051566611885,-0.01615051566611885,-0.010731243836320459,35,133,0,168
speed_only,grad_kurtosis_abs_delta,3.7003760441443694,5.131221651056194,1.430845606911824,-1.430845606911824,-0.8162179948824795,59,109,0,168
speed_only,psd_log_l2,0.8335247431666106,1.1310550816441978,0.29753033847758714,-0.29753033847758714,-0.2498165191752166,0,168,0,168
speed_only,psd_slope_abs_delta,0.9150108562505738,1.4547588985534412,0.5397480423028673,-0.5397480423028673,-0.496307848786371,0,168,0,168
speed_only,exceed_abs_t5,0.004242333333333336,0.006556357142857146,0.002314023809523811,-0.002314023809523811,-0.0021380000000000288,21,147,0,168
speed_only,exceed_abs_t10,0.006580809523809519,0.004892476190476189,-0.00168833333333333,0.00168833333333333,0.0017679999999999918,115,53,0,168
speed_only,exceed_abs_t15,0.0062105,0.004753880952380951,-0.001456619047619048,0.001456619047619048,0.0006479999999999999,112,56,0,168
speed_only,exceed_abs_p90,0.010253619047619053,0.006950928571428577,-0.0033026904761904756,0.0033026904761904756,0.0031679999999999903,131,37,0,168
speed_only,comp_curve_l1,115.52777777777779,142.19940476190476,26.67162698412698,-26.67162698412698,-25.91666666666667,6,161,1,168
speed_only,comp_abs_t5,64.38095238095238,69.21428571428571,4.833333333333333,-4.833333333333333,-3.0,45,112,11,168
speed_only,comp_abs_t10,187.16666666666666,230.00595238095238,42.839285714285715,-42.839285714285715,-43.0,5,163,0,168
speed_only,comp_abs_t15,116.80952380952381,143.57142857142858,26.761904761904763,-26.761904761904763,-22.0,24,142,2,168
speed_only,pd_distance,27.406283078086062,29.578276619692105,2.171993541606045,-2.171993541606045,-1.9958314877322216,9,159,0,168
speed_only,mt_distance,5.867795200574966,5.999594864391145,0.13179966381617955,-0.13179966381617955,-0.18034911155700684,61,107,0,168
levelset_only,psnruv,31.192500433861134,33.78863409851316,2.5961336646520157,2.5961336646520157,2.6201648489023484,168,0,0,168
levelset_only,ssim_speed,,,,,,,,,0
levelset_only,speed_mae,0.6940701629397319,0.4937004699307671,-0.20036969300896465,0.20036969300896465,0.1974070504148312,168,0,0,168
levelset_only,speed_rmse,1.1077586003651096,0.854198953932004,-0.2535596464331058,0.2535596464331058,0.23229076774120055,168,0,0,168
levelset_only,wpd_mae,231.67091095165674,158.05501357764263,-73.61589737401411,73.61589737401411,70.48555187537252,168,0,0,168
levelset_only,wpd_w1,45.27127092112853,33.194311059727596,-12.076959861400939,12.076959861400939,13.536223574709021,130,38,0,168
levelset_only,wpd_bias_abs,35.343902938857745,23.20170051310063,-12.142202425757116,12.142202425757116,15.319974420770818,120,48,0,168
levelset_only,grad_mae,0.3490557204526641,0.32402047114241306,-0.02503524931025105,0.02503524931025105,0.0237528419443494,168,0,0,168
levelset_only,grad_w1,0.23294292018237558,0.2491534256072174,0.016210505424841808,-0.016210505424841808,-0.0110270443991283,33,135,0,168
levelset_only,grad_kurtosis_abs_delta,3.7003760441443694,5.261340299407154,1.5609642552627843,-1.5609642552627843,-1.1447507425400527,57,111,0,168
levelset_only,psd_log_l2,0.8335247431666106,1.133066286809463,0.29954154364285235,-0.29954154364285235,-0.2514391945847396,0,168,0,168
levelset_only,psd_slope_abs_delta,0.9150108562505738,1.4633287703643219,0.5483179141137481,-0.5483179141137481,-0.5011833901212057,0,168,0,168
levelset_only,exceed_abs_t5,0.004242333333333336,0.006518190476190481,0.0022758571428571454,-0.0022758571428571454,-0.0021900000000000253,22,146,0,168
levelset_only,exceed_abs_t10,0.006580809523809519,0.004467690476190476,-0.002113119047619044,0.002113119047619044,0.0014419999999999988,112,56,0,168
levelset_only,exceed_abs_t15,0.0062105,0.0043257619047619034,-0.0018847380952380958,0.0018847380952380958,0.0008180000000000197,117,51,0,168
levelset_only,exceed_abs_p90,0.010253619047619053,0.006196738095238101,-0.004056880952380952,0.004056880952380952,0.0036840000000000067,136,32,0,168
levelset_only,comp_curve_l1,115.52777777777779,143.03571428571428,27.507936507936506,-27.507936507936506,-25.583333333333336,4,164,0,168
levelset_only,comp_abs_t5,64.38095238095238,69.68452380952381,5.303571428571429,-5.303571428571429,-4.0,37,115,16,168
levelset_only,comp_abs_t10,187.16666666666666,232.0654761904762,44.898809523809526,-44.898809523809526,-43.0,2,164,2,168
levelset_only,comp_abs_t15,116.80952380952381,144.10714285714286,27.297619047619047,-27.297619047619047,-21.5,23,142,3,168
levelset_only,pd_distance,27.406283078086062,29.59526828694034,2.1889852088542763,-2.1889852088542763,-2.022059192738716,10,158,0,168
levelset_only,mt_distance,5.867795200574966,6.007606157234737,0.13981095665977114,-0.13981095665977114,-0.19900155067443848,64,104,0,168
speed_levelset,psnruv,31.192500433861134,33.7789016593977,2.58640122553656,2.58640122553656,2.6077002211395595,168,0,0,168
speed_levelset,ssim_speed,,,,,,,,,0
speed_levelset,speed_mae,0.6940701629397319,0.4933673942059962,-0.20070276873373563,0.20070276873373563,0.1972876347754035,168,0,0,168
speed_levelset,speed_rmse,1.1077586003651096,0.8530594091440766,-0.25469919122103296,0.25469919122103296,0.23421732701433162,168,0,0,168
speed_levelset,wpd_mae,231.67091095165674,157.91647645651003,-73.75443449514671,73.75443449514671,70.74539643409834,168,0,0,168
speed_levelset,wpd_w1,45.27127092112853,31.896608009505115,-13.374662911623416,13.374662911623416,13.87230053822649,137,31,0,168
speed_levelset,wpd_bias_abs,35.343902938857745,21.239794796735378,-14.104108142122367,14.104108142122367,16.163461746899188,122,46,0,168
