method_id,metric,total_rows,finite_rows,missing_rows,missing_reason
c_e2,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
c_e2,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
c_e2,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
c_e2,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
c_e2,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
c_e2,pd_distance,168,0,168,no_source_artifact_found_in_repository
c_e2,mt_distance,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,psnruv,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,ssim_speed,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,speed_mae,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,speed_rmse,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,wpd_mae,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,wpd_w1,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,grad_mae,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,grad_w1,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,pd_distance,168,0,168,no_source_artifact_found_in_repository
f1_grad_e2,mt_distance,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,psnruv,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,ssim_speed,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,speed_mae,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,speed_rmse,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,wpd_mae,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,wpd_w1,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,wpd_bias_abs,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,grad_mae,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,grad_w1,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,grad_kurtosis_abs_delta,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,psd_log_l2,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,psd_slope_abs_delta,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,exceed_abs_t5,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,exceed_abs_t10,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,exceed_abs_t15,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,exceed_abs_p90,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,comp_curve_l1,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,comp_abs_t5,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,comp_abs_t10,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,comp_abs_t15,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,pd_distance,168,0,168,no_source_artifact_found_in_repository
f2_grad_levelset_e2,mt_distance,168,0,168,no_source_artifact_found_in_repository
f3_grad_crit,psnruv,168,0,168,no_source_artifact_found_in_repository
f3_grad_crit,ssim_speed,168,0,168,no_source_artifact_found_in_repository
