sample_idx,method_id,display_name,candidate_family,training_scale,architecture,uses_speed,uses_grad,uses_levelset,uses_crit,uses_e2,psnruv,ssim_speed,speed_mae,speed_rmse,wpd_mae,wpd_w1,wpd_bias_abs,grad_mae,grad_w1,grad_kurtosis_abs_delta,psd_log_l2,psd_slope_abs_delta,exceed_abs_t5,exceed_abs_t10,exceed_abs_t15,exceed_abs_p90,comp_curve_l1,comp_abs_t5,comp_abs_t10,comp_abs_t15,pd_distance,mt_distance
136,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
137,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
138,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
139,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
140,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
141,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
142,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
143,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
144,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
145,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
146,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
147,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
148,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
149,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
150,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
151,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
152,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
153,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
154,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
155,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
156,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
157,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
158,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
159,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
160,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
161,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
162,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
163,bicubic,Bicubic baseline,baseline,"n/a (interpolation, no training)",bicubic_interpolation,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,
