sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_crit_expanded2688,pd_winner_before,pd_winner_after_candidateUV_plus_crit_expanded2688,mt_winner_before,mt_winner_after_candidateUV_plus_crit_expanded2688,was_mt_gan_win_before
85,85,28.72250736297703,20.7490839418831,30.21359365984402,5.609640121459961,7.718591690063477,5.523316860198975,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
86,86,29.195361276159034,18.84606490909817,30.558858172274867,5.25334358215332,9.43416690826416,5.358607292175293,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,31.207787453623535,6.509652614593506,7.174471855163574,6.37294864654541,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
88,88,26.37509421416108,18.396084436387564,27.870769293135464,6.411813259124756,6.487721920013428,5.628422260284424,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
89,89,24.29846982632471,17.197907308437554,25.349049554799322,6.017302513122559,6.256072521209717,5.510476112365723,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
90,90,22.206834090995343,17.32676746960286,23.701943117384843,5.257880687713623,5.663510322570801,4.996170520782471,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
91,91,22.30942508877806,16.266054339767617,24.02581146207721,5.508337497711182,5.519831657409668,5.420149326324463,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
92,92,22.07932597419188,16.807703363287136,24.670300621706843,5.735818386077881,5.677903175354004,5.209155559539795,gan,gan,gan,candidateUV_plus_crit_expanded2688,1
93,93,24.402894658345392,18.13548367922437,28.098082216915802,6.506997585296631,6.816009521484375,5.819470405578613,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
94,94,24.570031527820365,20.006869187749356,29.541252105931246,5.102908611297607,6.517361164093018,5.412434101104736,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,30.830394232320533,5.015480041503906,6.677723407745361,5.693726539611816,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,32.55154145355541,5.121858596801758,7.258078575134277,5.263097286224365,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,33.16206417395771,5.011539936065674,7.223494529724121,5.015492916107178,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,33.52611987571398,4.942448139190674,8.764951705932617,5.155776023864746,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,33.53135201804725,5.342334747314453,7.760592460632324,5.612075328826904,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,33.08686135573286,5.912055015563965,7.617006778717041,5.67232084274292,gan,gan,cnn,candidateUV_plus_crit_expanded2688,0
101,101,30.40796712150836,20.937383941054357,32.55257776864508,5.357294082641602,7.0666680335998535,6.035810947418213,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,31.42400249932767,5.164434909820557,8.231893539428711,5.697810173034668,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,31.989649575956665,5.102769374847412,6.314839839935303,5.219367504119873,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,31.387583180909463,4.829194068908691,7.393864154815674,5.102527618408203,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,31.323520888317717,5.33697509765625,6.823482513427734,5.755486965179443,gan,gan,cnn,cnn,0
