sample_idx,training_size,delta_c_minus_uv_ssim_speed,delta_c_minus_uv_ssim_uv_mean,c_speed_ssim_gt_uv,c_uv_ssim_gt_uv
155,672,-0.0059388969278657555,-0.006380157233251249,False,False
156,672,-0.006047416141850337,-0.006028494487296809,False,False
157,672,-0.005984069230849043,-0.006296193626675439,False,False
158,672,-0.003255702604377908,-0.005393521665498335,False,False
159,672,0.0012651955311285823,-0.004434289047016815,True,False
160,672,-0.00017310750548282794,-0.004419940481818929,False,False
161,672,0.003975088312068276,-0.002854869463841503,True,False
162,672,-0.005012252800673189,-0.004952847343432598,False,False
163,672,-0.006659578782870046,-0.006131129758273013,False,False
164,672,-0.005778362810705984,-0.005747703540413096,False,False
165,672,-0.003823322227963444,-0.006163665864215906,False,False
166,672,-0.0010927306044830054,-0.005454995602103163,False,False
167,672,-0.0033928479299353276,-0.0038864637249425016,False,False
0,1344,-0.0010000804147838327,-0.004609816511264464,False,False
1,1344,-0.0014655000173582344,-0.004524131341895665,False,False
2,1344,-0.0011673617682813608,-0.004464688239481651,False,False
3,1344,0.0008941712847599925,-0.0035905852529398707,True,False
4,1344,-0.0007521188097071585,-0.003078141726871708,False,False
5,1344,-0.0030469427458266196,-0.005306330759266786,False,False
6,1344,-0.0030029525119626976,-0.005318368499534154,False,False
7,1344,-0.0038748157835151176,-0.005865904418127177,False,False
8,1344,-0.0029087443647209943,-0.005500289442251338,False,False
9,1344,-0.0041560874907591305,-0.006287440477798167,False,False
10,1344,-0.004596972045925463,-0.006814031052013947,False,False
11,1344,-0.004810590595905051,-0.00728796748085303,False,False
12,1344,-0.004929226503276207,-0.007852642320196446,False,False
13,1344,-0.006088923397998047,-0.008113707643638501,False,False
14,1344,-0.005273538155006197,-0.009056350590460838,False,False
15,1344,-0.005385743412465449,-0.009368777019304941,False,False
