sample_idx,method,training_size,family,delta_ssim_speed_vs_cnn,delta_ssim_uv_mean_vs_cnn,speed_ssim_gt_cnn,uv_ssim_gt_cnn
59,candidateC_672,672,candidateC,0.043070013803314544,0.04780698803251582,True,True
60,candidateC_672,672,candidateC,0.04397189523026701,0.04434118951966726,True,True
61,candidateC_672,672,candidateC,0.046863894278256324,0.041012377243332954,True,True
62,candidateC_672,672,candidateC,0.04512710595165892,0.04751183896666511,True,True
63,candidateC_672,672,candidateC,0.0467684663325606,0.046219075329017145,True,True
64,candidateC_672,672,candidateC,0.044632798727465284,0.042314423144959146,True,True
65,candidateC_672,672,candidateC,0.045584400355532906,0.0478425999821499,True,True
66,candidateC_672,672,candidateC,0.046842676487641066,0.05129179624065405,True,True
67,candidateC_672,672,candidateC,0.04696990737659812,0.0518345924996888,True,True
68,candidateC_672,672,candidateC,0.0508661287358978,0.0499589000357219,True,True
69,candidateC_672,672,candidateC,0.054721793787053,0.05499910442559841,True,True
70,candidateC_672,672,candidateC,0.05851354359760297,0.05924915810594933,True,True
71,candidateC_672,672,candidateC,0.05623225565555967,0.055538689791319706,True,True
72,candidateC_672,672,candidateC,0.05552826168498959,0.055594601745935224,True,True
73,candidateC_672,672,candidateC,0.056262170017311486,0.0556755257474314,True,True
74,candidateC_672,672,candidateC,0.05624264576488203,0.05231144208449168,True,True
75,candidateC_672,672,candidateC,0.05661418431163423,0.05338996936982854,True,True
76,candidateC_672,672,candidateC,0.05839049862590662,0.05283372268303088,True,True
77,candidateC_672,672,candidateC,0.06023057316577729,0.05489131306160566,True,True
78,candidateC_672,672,candidateC,0.060136129735022026,0.054183889246796846,True,True
79,candidateC_672,672,candidateC,0.05764443825469279,0.053325983528980325,True,True
80,candidateC_672,672,candidateC,0.05783581383150649,0.05008353416019995,True,True
81,candidateC_672,672,candidateC,0.051942325995202765,0.055214820608494364,True,True
82,candidateC_672,672,candidateC,0.05566591917087471,0.05740009406457258,True,True
83,candidateC_672,672,candidateC,0.060308698770296765,0.06113859889625084,True,True
84,candidateC_672,672,candidateC,0.05930691641097374,0.061964516598851827,True,True
85,candidateC_672,672,candidateC,0.0562572931715698,0.06313122820820416,True,True
86,candidateC_672,672,candidateC,0.054808341883735956,0.06304916906478786,True,True
87,candidateC_672,672,candidateC,0.055921445409420345,0.0607341120119379,True,True
88,candidateC_672,672,candidateC,0.05481189950217891,0.0580833892804542,True,True
89,candidateC_672,672,candidateC,0.05882843504811086,0.07152662769319185,True,True
90,candidateC_672,672,candidateC,0.057368936342437005,0.06914290857509797,True,True
91,candidateC_672,672,candidateC,0.05727107001188558,0.07971650259937235,True,True
92,candidateC_672,672,candidateC,0.06140388847930034,0.07440107963874432,True,True
93,candidateC_672,672,candidateC,0.06539990984156718,0.07825512803073931,True,True
94,candidateC_672,672,candidateC,0.06694872706440635,0.07411871610819831,True,True
95,candidateC_672,672,candidateC,0.06573942655739262,0.06986206224611613,True,True
96,candidateC_672,672,candidateC,0.07217078312780156,0.07698226836070554,True,True
97,candidateC_672,672,candidateC,0.07021906042473547,0.07324194020416297,True,True
98,candidateC_672,672,candidateC,0.06661815409104788,0.06945623803649914,True,True
99,candidateC_672,672,candidateC,0.06813822310822792,0.06568167799086033,True,True
100,candidateC_672,672,candidateC,0.06515889098152994,0.06665414255163749,True,True
101,candidateC_672,672,candidateC,0.06562918005614626,0.07207677022007408,True,True
