sample_idx,method,family,training_size,ssim_u,ssim_v,ssim_uv_mean,ssim_speed
71,gan,baseline,baseline,0.727183351336861,0.617319554119052,0.6722514527279565,0.6701949319073041
72,gan,baseline,baseline,0.7034554013398224,0.6355899439789388,0.6695226726593806,0.6517147598558594
73,gan,baseline,baseline,0.7013443588725198,0.671537615150189,0.6864409870113544,0.6847654987545834
74,gan,baseline,baseline,0.7139257240527509,0.6762379836421033,0.695081853847427,0.6919212587803213
75,gan,baseline,baseline,0.7024590839917009,0.6574935119111887,0.6799762979514448,0.6688580573475668
76,gan,baseline,baseline,0.6769568531591791,0.6655548442908668,0.6712558487250229,0.6440157541353497
77,gan,baseline,baseline,0.6613792906880566,0.6314226138996126,0.6464009522938345,0.6248774140949691
78,gan,baseline,baseline,0.6956450819371344,0.6147697108578881,0.6552073963975112,0.6502345037523115
79,gan,baseline,baseline,0.6854115389889648,0.6126404744253059,0.6490260067071354,0.6488115283808282
80,gan,baseline,baseline,0.6752770408535822,0.618987427490417,0.6471322341719996,0.6379712424968552
81,gan,baseline,baseline,0.6819008870828857,0.6120920764515464,0.646996481767216,0.6526750080192498
82,gan,baseline,baseline,0.7007057227943159,0.6109293325827112,0.6558175276885135,0.6499041348206006
83,gan,baseline,baseline,0.710478377337053,0.5878994563743504,0.6491889168557017,0.6607525675975319
84,gan,baseline,baseline,0.7095087054513821,0.5778535013589793,0.6436811034051807,0.6652395547063217
85,gan,baseline,baseline,0.7055840102846853,0.5771294918156187,0.641356751050152,0.6634932291716931
86,gan,baseline,baseline,0.6989850212468293,0.5841151556224268,0.641550088434628,0.6433197476178993
87,gan,baseline,baseline,0.6595709026796968,0.5964024362615016,0.6279866694705991,0.6356510276293075
88,gan,baseline,baseline,0.6967329665499084,0.5976516364317546,0.6471923014908314,0.6689410042683449
89,gan,baseline,baseline,0.6556943092441595,0.5883417450722407,0.6220180271582001,0.6339106464203492
90,gan,baseline,baseline,0.6557876053626152,0.6050620127147304,0.6304248090386728,0.6463996745684715
91,gan,baseline,baseline,0.6006071954605114,0.5769398534919098,0.5887735244762107,0.584009457805885
92,gan,baseline,baseline,0.6137842107803998,0.6156257025813373,0.6147049566808686,0.5926518518113232
93,gan,baseline,baseline,0.6188418269988966,0.6484738525506251,0.6336578397747608,0.6011017159295072
94,gan,baseline,baseline,0.6663415870042264,0.6230336433341301,0.6446876151691783,0.5913105162701755
95,gan,baseline,baseline,0.6499631089146183,0.6266291424868113,0.6382961257007148,0.5858003554096877
96,gan,baseline,baseline,0.6403431484878207,0.6476911658147607,0.6440171571512907,0.5783915582151319
97,gan,baseline,baseline,0.6361532764320853,0.6598856975301233,0.6480194869811042,0.5792701749299771
98,gan,baseline,baseline,0.6688118074249433,0.6871529698303583,0.6779823886276508,0.613026568095956
99,gan,baseline,baseline,0.6608243913829527,0.6790873602686757,0.6699558758258142,0.6005655720660806
100,gan,baseline,baseline,0.6596357854983682,0.6596520021964268,0.6596438938473975,0.622479806894338
101,gan,baseline,baseline,0.6360783686046882,0.6086529772605958,0.622365672932642,0.6012682555912127
102,gan,baseline,baseline,0.6725270557811283,0.674265572666373,0.6733963142237507,0.6293551721557817
103,gan,baseline,baseline,0.63918003691901,0.6339581463838584,0.6365690916514342,0.5983660565107783
104,gan,baseline,baseline,0.6103447560837917,0.6243516753064537,0.6173482156951227,0.6183755859217696
105,gan,baseline,baseline,0.62716102532867,0.6492078303689549,0.6381844278488125,0.6408566711277345
106,gan,baseline,baseline,0.6502914624241772,0.645208430637281,0.647749946530729,0.6306084113664464
107,gan,baseline,baseline,0.6562257508098349,0.6542666471128761,0.6552461989613555,0.6402736271174254
108,gan,baseline,baseline,0.7051977209057742,0.6618811792474677,0.683539450076621,0.6761984738549213
109,gan,baseline,baseline,0.6873475939872457,0.6938871706960589,0.6906173823416523,0.688341983456204
110,gan,baseline,baseline,0.7191850619177927,0.7155572594018276,0.7173711606598101,0.7113292807660277
111,gan,baseline,baseline,0.7300732777072052,0.6771838197134181,0.7036285487103117,0.6819853237450841
112,gan,baseline,baseline,0.7077695968747988,0.6910673662660657,0.6994184815704323,0.6839224853004721
