method,sample_idx,psnr,ssim,speed_mae,speed_rmse,wpd_bias,wpd_mae,wpd_rmse,wpd_w1,psd_log_l2,psd_slope_delta,grad_mae,grad_w1,grad_kurtosis_delta,exceed_err_5ms,exceed_err_10ms,exceed_err_15ms,exceed_err_20ms,exceed_err_p90,exceed_err_p95,exceed_err_p99,exceed_frac_abs_delta_t5,exceed_frac_abs_delta_t10,exceed_frac_abs_delta_t15,exceed_frac_abs_delta_p90,exceed_frac_abs_delta_p95,exceed_frac_abs_delta_p99
gan,148,28.75645886128091,0.5853246759715893,1.110281685715544,1.6136976051935832,123.88760430412262,240.8500748253822,424.7994318143588,123.88760500742112,0.3921173470043112,-0.3165109498706222,0.4476012707005045,0.05352140586965128,3.947067987904232,0.016096,0.06600800000000001,0.023803999999999992,0.0017919999999999998,0.030444,0.018411999999999998,0.005311999999999999,0.016096,0.066008,0.023804,0.030544,0.018412,0.005312
bicubic,148,32.118891215026956,0.7154948911278829,0.7136720035571227,1.1271987231498322,-28.856528114020502,135.66209692599804,248.60877663131964,37.38038868254061,1.6752724751093269,0.8506649747215329,0.4229037592970312,0.3719346307231057,-2.316579115827375,0.017132000000000036,-0.014863999999999988,-0.010223999999999997,-0.00084,-0.012348000000000012,-0.007268000000000004,-0.0021399999999999995,0.017132,0.014864,0.010224,0.012248,0.007268,0.00214
cnn,149,30.68732483906053,0.6802684932230818,0.8465263417575571,1.274670853685278,-7.065183593494214,155.29503183859825,271.26772120758346,15.194580984274225,0.9246355930194595,-0.15725755308509726,0.3889171297725192,0.2289179824306584,-0.5238280501387038,0.007511999999999963,0.005552000000000001,-0.009235999999999994,0.0001879999999999998,-0.007400000000000004,-0.006188000000000006,-0.0018679999999999999,0.007512,0.005552,0.009236,0.007352,0.006168,0.001848
gan,149,28.68495546130564,0.5675548931343106,1.1018170592566092,1.5931112818142512,113.66653466767744,224.04632688912753,404.94733644114444,113.66690529869695,0.38218357483650395,-0.2785899216416867,0.4473506280064279,0.06082791124537964,3.2704545461605345,0.018067999999999973,0.06561600000000001,0.021264000000000005,0.001984,0.025823999999999986,0.019384,0.005415999999999999,0.018068,0.065616,0.021264,0.025872,0.019404,0.005436
bicubic,149,32.10095572988219,0.7074974479842722,0.7036292026793373,1.109810384783105,-26.044890585718147,125.18964606088043,237.70478609015248,33.5355947100119,1.6365212958819675,0.9062335872400151,0.4163088029723339,0.3654224579932919,-2.5405697230565636,0.02101200000000003,-0.013340000000000019,-0.006595999999999998,-0.0005960000000000002,-0.010304000000000008,-0.007072000000000002,-0.002384,0.021012,0.01334,0.006596,0.010256,0.007052,0.002364
cnn,150,30.745886338100576,0.6906360029904279,0.8007321530765111,1.2093468963951626,-4.031711866692747,137.6661308249702,248.14076239452015,10.244245384808274,0.8615577559820887,-0.14975151643511975,0.3641186131342485,0.20872905472758638,0.3734309091546901,0.007855999999999974,0.005060000000000009,-0.0029,0.00028,-0.00671200000000001,-0.0030960000000000015,-0.0024000000000000002,0.007856,0.00506,0.0029,0.006648,0.003096,0.0024
gan,150,28.656089806441578,0.5679288146464325,1.0474549188953413,1.5166774471744477,91.86658550843248,196.38630257825918,353.40152586404787,91.86658611709406,0.3537863871865865,-0.21953490256600006,0.42626760210364517,0.0508274199711144,1.731842884617592,0.021155999999999953,0.05202800000000002,0.019308,0.00122,0.02715999999999999,0.019491999999999995,0.0047799999999999995,0.021156,0.052028,0.019308,0.027224,0.019492,0.00478
bicubic,150,32.17302591245967,0.7189414148463267,0.6627146543936736,1.0509426625629088,-22.43404817436134,108.86058597150998,208.26036676559946,28.62183626751627,1.5519997357322712,0.9224821826610077,0.38815716579773474,0.33566104111317946,-4.1009403510654145,0.019907999999999926,-0.011815999999999993,-0.0059080000000000035,-0.000204,-0.007652000000000006,-0.006080000000000002,-0.00328,0.019908,0.011816,0.005908,0.007588,0.00608,0.00328
cnn,151,31.12184929937538,0.7061711807700121,0.7558665298383178,1.1519920753156179,-4.0701627400201135,119.9627818553751,222.43697993197122,9.016496384182592,0.8789978963202854,-0.20463254731159797,0.3427027397790662,0.19300017924534343,-0.4805082205476374,0.0048079999999999234,-0.0012719999999999954,-0.0015960000000000002,0.000312,-0.003280000000000005,-0.002472000000000002,-0.0005839999999999995,0.004808,0.001272,0.001596,0.003236,0.002408,0.000576
gan,151,28.905600299785096,0.5778049169379367,1.0131628872600325,1.4766161402981832,82.06868896169806,176.58628083838315,325.65300645695874,82.06868938709611,0.34606960500816725,-0.24902774058269816,0.400667249043033,0.04714637996407291,-1.3762927259178959,0.02037599999999995,0.04281200000000002,0.014008000000000007,0.000828,0.026256,0.016615999999999992,0.007431999999999999,0.020376,0.042812,0.014008,0.0263,0.01668,0.00744
bicubic,151,32.57448945106461,0.7348985523601077,0.6193979610465611,0.9950464870048258,-18.929877224933136,94.40849430849758,183.6861345209291,23.495534098001556,1.5078606083736241,0.894991210458683,0.3606021790557393,0.31162607812601906,-4.976472141246667,0.015988000000000002,-0.015467999999999982,-0.005023999999999994,-3.2e-05,-0.006448000000000009,-0.006496000000000002,-0.002092,0.015988,0.015468,0.005024,0.006404,0.006432,0.002084
cnn,152,31.286692101332164,0.715391299612305,0.7168806528244558,1.1037157798662371,-0.2158212950932242,106.4863747609724,206.25656002787508,6.648083600742941,0.7694476150823976,-0.2837448977594219,0.31787976819432584,0.163545395587525,1.3552405529519476,-0.00028799999999995496,-0.0011959999999999749,-0.0030680000000000013,0.00030000000000000003,-0.0027760000000000007,-0.002244000000000003,0.00010399999999999993,0.000288,0.001196,0.003068,0.002696,0.002224,0.000108
gan,152,29.192167797165673,0.5856559030641125,0.9355829090746196,1.3829261166244315,68.5628533284447,152.9231395177723,305.971867725003,68.56294375966684,0.33267215177650855,-0.23285268310137397,0.36898604767647275,0.044596399962988996,-0.43640714619969856,0.02176,0.03134799999999999,0.012103999999999997,0.0009119999999999999,0.025004,0.013775999999999997,0.006695999999999999,0.02176,0.031348,0.012104,0.025084,0.013796,0.0067
bicubic,152,32.889184017173605,0.7508472397498585,0.5688528269385114,0.9283657455207385,-17.056704106475195,80.22445565993674,162.3116440820696,20.785252356787126,1.4140744925593203,0.8508827663716145,0.3310457249946857,0.28356305629158546,-4.965047246581799,0.011672000000000016,-0.01522800000000002,-0.004535999999999998,-2.8e-05,-0.008064000000000002,-0.005020000000000004,-0.0021600000000000005,0.011672,0.015228,0.004536,0.007984,0.005,0.002156
