figure_id,panel_order,panel_group,panel_type,method_id,source_path,final_visible_status
3,4,scripted_per_method,speed_fields,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/speed_fields_uv_e2.png,visible
3,5,scripted_per_method,error_maps,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/error_maps_cnn.png,visible
3,6,scripted_per_method,error_maps,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/error_maps_f3_grad_crit.png,visible
3,7,scripted_per_method,error_maps,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/error_maps_uv_e2.png,visible
3,8,pd_coordinate,pd_evidence,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/pd_evidence_GT.png,visible
3,9,pd_scalar_fallback,pd_evidence,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/pd_evidence_scalar_fallback.png,scalar_fallback
3,10,pd_coordinate,pd_evidence,f3_grad_crit,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/pd_evidence_f3_grad_crit.png,visible
3,11,pd_coordinate,pd_evidence,uv_e2,ttk_runs_fixed/unified_candidate_analysis/phase2db/panels/figure_03_f3_uv_e2_tradeoff/pd_evidence_uv_e2.png,visible
3,12,manual_topology,mt_evidence,GT,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/GT_mt.png,visible
3,13,manual_topology,mt_evidence,cnn,ttk_runs_fixed/unified_candidate_analysis/phase2db/manual_topology_inputs/figure_03/cnn_mt.png,visible
