sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2,pd_winner_before,pd_winner_after_candidateE2,mt_winner_before,mt_winner_after_candidateE2,was_mt_gan_win_before
24,24,35.75728371567695,29.65320138308241,37.57054846383428,7.21915864944458,12.067601203918457,6.119217395782471,gan,gan,cnn,candidateE2,0
25,25,36.58411526021696,30.123491475362258,38.618981210821346,11.371563911437988,10.501462936401367,7.695071220397949,gan,gan,gan,candidateE2,1
26,26,35.02599363200026,30.779316467464,37.97740962734721,7.043282985687256,11.28821849822998,6.152072906494141,gan,gan,cnn,candidateE2,0
27,27,36.89696946573002,30.945378681968467,39.21145203347996,6.4783101081848145,19.968429565429688,6.551331520080566,gan,gan,cnn,cnn,0
28,28,38.33189346230645,30.74946233279523,41.13413626215326,7.210402011871338,14.947399139404297,7.42561674118042,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,41.240410105232726,6.963974952697754,12.864243507385254,6.8482842445373535,gan,gan,cnn,candidateE2,0
30,30,39.94080457344863,30.82310921065586,41.838981047412894,8.127463340759277,14.847400665283203,6.933385372161865,gan,gan,cnn,candidateE2,0
31,31,39.104318483733294,31.3053599336416,40.84788925341893,6.818642616271973,16.23410415649414,6.975780963897705,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,40.11538259072981,7.461033821105957,19.229158401489258,6.612490653991699,gan,gan,cnn,candidateE2,0
33,33,38.39305861348763,30.400139282712473,39.877596388389925,6.76971960067749,20.00556755065918,6.611151695251465,gan,gan,cnn,candidateE2,0
34,34,37.356416104450325,28.907547601520903,38.916024934093265,6.323113918304443,19.445999145507812,6.405431747436523,gan,gan,cnn,cnn,0
35,35,35.95264003005777,28.746843597068697,37.76641601466175,6.2719197273254395,14.435929298400879,7.122549057006836,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,37.14963272417577,6.097905158996582,9.26945686340332,6.163757801055908,gan,gan,cnn,cnn,0
