sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_expanded2688,pd_winner_before,pd_winner_after_candidateB_expanded2688,mt_winner_before,mt_winner_after_candidateB_expanded2688,was_mt_gan_win_before
57,57,24.937493176964292,18.354637384973643,18.871953508403582,5.463809013366699,6.805661201477051,5.764838218688965,gan,gan,cnn,cnn,0
58,58,25.56121844001433,18.762904108038654,19.54538178380503,6.08959436416626,8.349846839904785,6.299201965332031,gan,gan,cnn,cnn,0
59,59,25.864386079507888,18.65101850934172,20.21881706802013,5.546851634979248,7.89148473739624,6.0306878089904785,gan,gan,cnn,cnn,0
60,60,25.964725332360167,18.604905025455473,20.336113821741943,5.321651458740234,8.357301712036133,6.1026387214660645,gan,gan,cnn,cnn,0
61,61,25.73100039673249,19.516031588862035,20.649833748477683,5.346891403198242,8.12722110748291,6.160360336303711,gan,gan,cnn,cnn,0
62,62,27.46350343812835,17.993686869301147,21.5241114711918,6.720277786254883,6.650205135345459,6.900768280029297,gan,gan,gan,gan,1
63,63,28.524583670890912,18.199751597271156,22.14400622130441,7.660599708557129,7.5776286125183105,7.240047454833984,gan,gan,gan,candidateB_expanded2688,1
64,64,24.7100597287657,16.701032359601633,19.496481383502267,5.944510459899902,7.137726306915283,5.783666610717773,gan,gan,cnn,candidateB_expanded2688,0
65,65,22.148883751156426,16.23947552161985,17.472552445397326,5.820770263671875,5.576780319213867,5.403519630432129,gan,gan,gan,candidateB_expanded2688,1
66,66,20.981857591368968,15.979342195015368,16.190504527186196,5.701828956604004,6.4086198806762695,5.577836990356445,gan,gan,cnn,candidateB_expanded2688,0
67,67,20.679919922717943,14.773695042869097,15.216715601312716,5.030301094055176,6.6433844566345215,5.377910137176514,gan,gan,cnn,cnn,0
68,68,21.77134223692748,15.500930745161975,16.075115635196866,6.074338436126709,5.670867919921875,5.420680522918701,gan,gan,gan,candidateB_expanded2688,1
69,69,24.168055816700438,16.112222498232782,18.29010059226351,5.17050838470459,6.406604290008545,5.342098712921143,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,18.846782671882572,5.396136283874512,5.861793041229248,5.464961051940918,gan,candidateB_expanded2688,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,19.326705105834847,5.1588335037231445,7.186563014984131,6.828776836395264,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,20.697439939217286,4.796044826507568,5.719583988189697,6.439545154571533,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,21.551823293341076,4.9851861000061035,5.75114631652832,5.758291721343994,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,22.40097252650214,4.782100200653076,5.644299030303955,6.800207614898682,gan,gan,cnn,cnn,0
75,75,29.367383683723347,19.74885298310355,22.666979258596005,5.201173305511475,5.680557727813721,5.687763214111328,gan,gan,cnn,cnn,0
76,76,30.056769521251926,20.225713244111034,23.489854023570818,5.207019329071045,6.450347900390625,6.321613311767578,gan,gan,cnn,cnn,0
77,77,29.944664675564518,20.353338072506904,23.770278453142115,6.132026672363281,6.000014781951904,5.885856628417969,gan,gan,gan,candidateB_expanded2688,1
