sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_fixed_lowlambda_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_fixed_lowlambda_expanded1344,pd_winner_before,pd_winner_after_candidateE2_fixed_lowlambda_expanded1344,mt_winner_before,mt_winner_after_candidateE2_fixed_lowlambda_expanded1344,was_mt_gan_win_before
116,116,25.095451409249726,17.129081493158413,24.945456265525852,5.35050630569458,7.636551856994629,5.202121257781982,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
117,117,27.14897424086504,18.592743212240446,26.97469953131072,5.260716915130615,8.683184623718262,5.450450420379639,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,27.723504167246187,6.84329080581665,9.465571403503418,6.694126605987549,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
119,119,27.187847892928154,20.557132674744736,26.981946146211968,5.218785285949707,6.129123687744141,5.074455261230469,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
120,120,28.146732976702577,21.528863701574615,27.759359738597446,4.889072418212891,7.93386173248291,4.787972450256348,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
121,121,29.135888828595842,21.37188887795256,28.692119405113612,5.373913288116455,7.535200595855713,5.424087047576904,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,27.440130910056535,5.264456272125244,7.450175762176514,5.083667278289795,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
123,123,29.152924001075785,22.17220391892049,28.559905923037682,6.196282386779785,8.431406021118164,5.890717506408691,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
124,124,28.184626374879375,22.119830159019614,27.589396039001876,6.166434288024902,6.818744659423828,5.664915084838867,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
125,125,28.43981263564626,21.313574573250694,27.746503435881497,5.748098373413086,10.086677551269531,5.386922836303711,gan,gan,cnn,candidateE2_fixed_lowlambda_expanded1344,0
