sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateC_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateC_expanded1344,pd_winner_before,pd_winner_after_candidateC_expanded1344,mt_winner_before,mt_winner_after_candidateC_expanded1344,was_mt_gan_win_before
149,149,25.194205211404583,21.36081867901896,21.703427447629036,5.752551078796387,8.038224220275879,7.251687526702881,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,20.53173499867865,5.291886329650879,7.924254417419434,6.3213911056518555,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,19.617634047286046,5.580901145935059,7.460690975189209,6.766761779785156,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,19.48227434805778,5.931854248046875,8.478921890258789,5.915606498718262,gan,gan,cnn,candidateC_expanded1344,0
153,153,25.168802860244767,16.23765159094386,19.34654717619836,6.290019989013672,6.548172950744629,6.406530857086182,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,19.56403494211142,5.889771461486816,5.736759185791016,6.64267110824585,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,19.53263667369603,6.413660526275635,6.612644195556641,5.999188423156738,gan,gan,cnn,candidateC_expanded1344,0
156,156,25.16401321091786,17.879759557761357,19.682562749363505,5.162914276123047,9.264598846435547,5.345335960388184,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,21.162597313068982,4.567626476287842,8.282842636108398,5.231121063232422,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,23.266536769689004,5.708489894866943,8.312358856201172,5.457141399383545,gan,gan,cnn,candidateC_expanded1344,0
159,159,24.310343375521082,19.84507792462866,20.68711109530956,5.012121677398682,10.700226783752441,5.053537368774414,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,18.388416799211214,5.1832075119018555,13.9108247756958,6.413401126861572,gan,candidateC_expanded1344,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,18.323731666153858,5.7158894538879395,11.7100830078125,6.513136386871338,gan,candidateC_expanded1344,cnn,cnn,0
162,162,18.27105324592802,19.457879947992573,17.65697267415629,4.5405659675598145,9.695740699768066,4.877682209014893,cnn,candidateC_expanded1344,cnn,cnn,0
163,163,19.37037318892002,20.44637029980189,19.026362477694924,5.698920726776123,6.788956165313721,5.406191825866699,cnn,candidateC_expanded1344,cnn,candidateC_expanded1344,0
164,164,21.46365087746109,18.82963529736202,19.930294776926306,5.2430009841918945,10.968896865844727,5.9448676109313965,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,21.23764966523382,5.059387683868408,11.26945972442627,5.983640670776367,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,22.243647324072665,6.106489181518555,10.583955764770508,6.282235622406006,gan,gan,cnn,cnn,0
167,167,23.479887971191566,21.661112948338108,22.13793388170786,5.800627708435059,7.244186878204346,5.589926242828369,gan,gan,cnn,candidateC_expanded1344,0
