,time,avg_pow
207,2024-09-09 15:00:00,656092.810816267
208,2024-09-09 16:00:00,743344.1611668343
209,2024-09-09 17:00:00,722540.6601957144
210,2024-09-09 18:00:00,697365.8442938972
211,2024-09-09 19:00:00,674428.6056532065
212,2024-09-09 20:00:00,655743.6276372917
213,2024-09-09 21:00:00,654762.4290088485
214,2024-09-09 22:00:00,645021.8517900845
215,2024-09-09 23:00:00,643643.5664109809
216,2024-09-10 00:00:00,628824.5845018583
217,2024-09-10 01:00:00,612068.6850342422
218,2024-09-10 02:00:00,572615.4467133867
219,2024-09-10 03:00:00,558087.421560787
220,2024-09-10 04:00:00,542265.6485845404
221,2024-09-10 05:00:00,667406.6225504674
222,2024-09-10 06:00:00,887941.0569249694
223,2024-09-10 07:00:00,976140.9556228397
224,2024-09-10 08:00:00,972928.884618201
225,2024-09-10 09:00:00,951617.0174305858
226,2024-09-10 10:00:00,949152.3026216057
227,2024-09-10 11:00:00,938612.8654565864
228,2024-09-10 12:00:00,922824.213297037
229,2024-09-10 13:00:00,905087.5850247671
230,2024-09-10 14:00:00,882261.3283820401
231,2024-09-10 15:00:00,885350.1481280254
232,2024-09-10 16:00:00,878563.5395402062
233,2024-09-10 17:00:00,858729.5028644248
234,2024-09-10 18:00:00,838399.5730814763
235,2024-09-10 19:00:00,820886.7169662911
236,2024-09-10 20:00:00,786228.8272973952
237,2024-09-10 21:00:00,759887.7426079307
238,2024-09-10 22:00:00,685396.8751215587
239,2024-09-10 23:00:00,621350.5640418568
240,2024-09-11 00:00:00,611964.2140025976
241,2024-09-11 01:00:00,609079.3414516993
242,2024-09-11 02:00:00,607003.9115400565
243,2024-09-11 03:00:00,610003.6590895263
244,2024-09-11 04:00:00,605751.5079825318
245,2024-09-11 05:00:00,597308.3204919784
246,2024-09-11 06:00:00,594684.192233929
247,2024-09-11 07:00:00,596232.4287919499
248,2024-09-11 08:00:00,575583.298623853
249,2024-09-11 09:00:00,562801.6935280889
250,2024-09-11 10:00:00,614273.1096388184
251,2024-09-11 11:00:00,615961.4808580845
252,2024-09-11 12:00:00,623344.7996123672
253,2024-09-11 13:00:00,587006.5436643373
254,2024-09-11 14:00:00,597612.0526124253
255,2024-09-11 15:00:00,579789.3994774184
256,2024-09-11 16:00:00,573824.4804135505
257,2024-09-11 17:00:00,601630.8907089742
258,2024-09-11 18:00:00,626899.0514445826
259,2024-09-11 19:00:00,606527.4850073635
260,2024-09-11 20:00:00,621564.7940992939
261,2024-09-11 21:00:00,678282.433571371
262,2024-09-11 22:00:00,668046.2707888823
263,2024-09-11 23:00:00,681876.6902346275
264,2024-09-12 00:00:00,670496.5855686524
265,2024-09-12 01:00:00,654068.0417026202
266,2024-09-12 02:00:00,725114.7297488746
267,2024-09-12 03:00:00,774465.7880049314
268,2024-09-12 04:00:00,780107.9522819537
269,2024-09-12 05:00:00,775676.0924524317
270,2024-09-12 06:00:00,763809.9085823989
271,2024-09-12 07:00:00,734894.7065816906
272,2024-09-12 08:00:00,733067.0242289463
273,2024-09-12 09:00:00,741737.9930488071
274,2024-09-12 10:00:00,763430.9232007965
275,2024-09-12 11:00:00,789333.9565152511
276,2024-09-12 12:00:00,832216.8998398673
277,2024-09-12 13:00:00,818066.8803036367
278,2024-09-12 14:00:00,856616.6047158743
279,2024-09-12 15:00:00,853438.3749240093
280,2024-09-12 16:00:00,855323.1028481935
281,2024-09-12 17:00:00,860809.6779621416
282,2024-09-12 18:00:00,862406.5482705093
283,2024-09-12 19:00:00,871556.4808007921
284,2024-09-12 20:00:00,944696.8158116409
285,2024-09-12 21:00:00,971210.050905344
286,2024-09-12 22:00:00,1000106.2153985286
287,2024-09-12 23:00:00,950113.9263863146
288,2024-09-13 00:00:00,848294.6816104153
289,2024-09-13 01:00:00,807888.1250894517
290,2024-09-13 02:00:00,752647.3252353498
291,2024-09-13 03:00:00,702812.1222299483
292,2024-09-13 04:00:00,696589.2171041892
293,2024-09-13 05:00:00,594406.7561902473
294,2024-09-13 06:00:00,504115.4352649464
295,2024-09-13 07:00:00,565643.2059613082
296,2024-09-13 08:00:00,538292.9344599268
297,2024-09-13 09:00:00,600950.0486797399
298,2024-09-13 10:00:00,589802.53135567
299,2024-09-13 11:00:00,527173.0272365398
300,2024-09-13 12:00:00,578184.0035937425
301,2024-09-13 13:00:00,602277.4852568534
302,2024-09-13 14:00:00,570648.2378414872
303,2024-09-13 15:00:00,555354.2435963183
304,2024-09-13 16:00:00,559947.5971165635
305,2024-09-13 17:00:00,569433.3391447682
306,2024-09-13 18:00:00,577019.7596384325
307,2024-09-13 19:00:00,582774.6068237575
308,2024-09-13 20:00:00,650154.2883484627
309,2024-09-13 21:00:00,671636.8831718878
310,2024-09-13 22:00:00,658160.8918194881
311,2024-09-13 23:00:00,718167.3167040361
312,2024-09-14 00:00:00,765555.5164764689
313,2024-09-14 01:00:00,782257.8432907684
314,2024-09-14 02:00:00,776042.9367419721
315,2024-09-14 03:00:00,664490.2583830655
316,2024-09-14 04:00:00,471781.03083200334
317,2024-09-14 05:00:00,468128.9265775628
318,2024-09-14 06:00:00,478187.61146945483
319,2024-09-14 07:00:00,484415.293887444
320,2024-09-14 08:00:00,501733.8989428087
321,2024-09-14 09:00:00,529062.2070685881
322,2024-09-14 10:00:00,512635.9001468467
323,2024-09-14 11:00:00,442131.0759336989
324,2024-09-14 12:00:00,544653.5311531554
325,2024-09-14 13:00:00,591347.0072246912
326,2024-09-14 14:00:00,606823.6902697713
327,2024-09-14 15:00:00,641229.1121633647
328,2024-09-14 16:00:00,654155.2727844155
329,2024-09-14 17:00:00,686258.9911403274
330,2024-09-14 18:00:00,717705.4546283942
331,2024-09-14 19:00:00,691045.351312021
332,2024-09-14 20:00:00,730314.7176083406
333,2024-09-14 21:00:00,743654.7319045988
334,2024-09-14 22:00:00,764987.786266914
335,2024-09-14 23:00:00,783542.258972071
336,2024-09-15 00:00:00,793984.4896684667
337,2024-09-15 01:00:00,792291.2665256821
338,2024-09-15 02:00:00,801232.2335732629
339,2024-09-15 03:00:00,831090.6558923943
340,2024-09-15 04:00:00,909899.1375505633
341,2024-09-15 05:00:00,884176.3255367219
342,2024-09-15 06:00:00,944825.8549686691
343,2024-09-15 07:00:00,982178.473974308
344,2024-09-15 08:00:00,996145.070514398
345,2024-09-15 09:00:00,1036053.4784131522
346,2024-09-15 10:00:00,1044337.7653186648
347,2024-09-15 11:00:00,1043510.5743216461
348,2024-09-15 12:00:00,1038436.1819794573
349,2024-09-15 13:00:00,1043268.1175290251
350,2024-09-15 14:00:00,1040601.9104496663
351,2024-09-15 15:00:00,1031920.3599550929
352,2024-09-15 16:00:00,987794.0128015188
353,2024-09-15 17:00:00,981760.6548242035
354,2024-09-15 18:00:00,1002782.417734906
355,2024-09-15 19:00:00,1027162.4772331251
356,2024-09-15 20:00:00,1039245.0055462822
357,2024-09-15 21:00:00,1057091.0220718058
358,2024-09-15 22:00:00,1062426.518594584
359,2024-09-15 23:00:00,1058907.3405881017
