sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_E2_low_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_E2_low_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_E2_low_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_E2_low_expanded2688,was_mt_gan_win_before
13,13,29.273674668484478,24.323688014436637,25.44511442942317,6.0738348960876465,7.402252674102783,6.526429176330566,gan,gan,cnn,cnn,0
14,14,28.13047371417262,21.511818920550414,24.27353501891167,5.448930263519287,5.877835750579834,5.4192399978637695,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
15,15,26.322356943691645,19.148010639364745,22.498514266312196,5.097294807434082,5.86716890335083,5.115871906280518,gan,gan,cnn,cnn,0
16,16,23.755960973590362,17.324485324726012,20.165815058183647,5.464188098907471,5.255205154418945,4.722856521606445,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
17,17,20.900376556174706,17.11808749868573,18.151570731751683,5.2896833419799805,4.8487091064453125,4.094663619995117,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
18,18,20.394905033940507,18.610240875886223,17.533288246123718,6.258571624755859,5.554356575012207,4.3918962478637695,gan,candidateF_grad_E2_low_expanded2688,gan,candidateF_grad_E2_low_expanded2688,1
19,19,21.064082150885508,19.086676411603058,17.22172699913106,6.927988529205322,5.44291353225708,4.976779460906982,gan,candidateF_grad_E2_low_expanded2688,gan,candidateF_grad_E2_low_expanded2688,1
20,20,21.97923655969375,18.266315468004898,18.506055911071016,6.254051208496094,5.689126491546631,5.186514854431152,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
21,21,27.30086406645334,21.732522780594586,22.743058220331676,8.127616882324219,10.817054748535156,7.73196268081665,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
22,22,32.693467082501115,26.801086541907566,27.92184242910498,8.081520080566406,8.346701622009277,6.318380832672119,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
23,23,34.476953302920876,29.144574221491347,30.022832520769956,6.907674789428711,8.497876167297363,6.183196067810059,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
24,24,35.75728371567695,29.65320138308241,30.984295756917913,7.21915864944458,12.067601203918457,5.748534202575684,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
25,25,36.58411526021696,30.123491475362258,31.66688002402639,11.371563911437988,10.501462936401367,6.398910045623779,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
26,26,35.02599363200026,30.779316467464,30.263217787308502,7.043282985687256,11.28821849822998,7.799518585205078,gan,candidateF_grad_E2_low_expanded2688,cnn,cnn,0
27,27,36.89696946573002,30.945378681968467,31.778887254558253,6.4783101081848145,19.968429565429688,6.277277946472168,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
28,28,38.33189346230645,30.74946233279523,33.10639492133635,7.210402011871338,14.947399139404297,7.801897048950195,gan,gan,cnn,cnn,0
29,29,38.84347398326436,31.752977463202388,34.75599030423751,6.963974952697754,12.864243507385254,8.578235626220703,gan,gan,cnn,cnn,0
30,30,39.94080457344863,30.82310921065586,34.957388062758234,8.127463340759277,14.847400665283203,7.259835720062256,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
31,31,39.104318483733294,31.3053599336416,34.90744367483026,6.818642616271973,16.23410415649414,7.070522308349609,gan,gan,cnn,cnn,0
32,32,38.55925876668554,30.547158977309156,33.85541893277711,7.461033821105957,19.229158401489258,6.764081954956055,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
33,33,38.39305861348763,30.400139282712473,33.64162987093246,6.76971960067749,20.00556755065918,6.864243507385254,gan,gan,cnn,cnn,0
34,34,37.356416104450325,28.907547601520903,32.85080030238022,6.323113918304443,19.445999145507812,6.297201156616211,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
35,35,35.95264003005777,28.746843597068697,32.364224625520386,6.2719197273254395,14.435929298400879,6.708964824676514,gan,gan,cnn,cnn,0
36,36,35.61901723291445,27.743736665197815,32.75254775208621,6.097905158996582,9.26945686340332,6.311385631561279,gan,gan,cnn,cnn,0
37,37,33.456602216246914,27.16364872656993,31.095613914909627,6.489102840423584,9.59257698059082,6.34707498550415,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
38,38,29.159912858159764,23.780350003542182,26.399351676896536,6.054014682769775,7.416414260864258,6.6573710441589355,gan,gan,cnn,cnn,0
39,39,25.24426875811477,21.358097631209198,22.37206319597688,5.873856067657471,8.546488761901855,6.549941539764404,gan,gan,cnn,cnn,0
40,40,24.281572165890662,20.447367624488226,21.031846958881697,5.6310811042785645,8.988521575927734,5.462316513061523,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
41,41,23.457166445963043,17.452695580897316,19.950910469368274,5.389686584472656,8.901470184326172,5.950599670410156,gan,gan,cnn,cnn,0
42,42,21.63035540369367,14.632793364821667,18.128532358734557,5.757840156555176,7.383090972900391,5.726477146148682,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
43,43,20.76816702008209,13.784137402758168,16.63249574326968,5.7682366371154785,7.053122520446777,6.591086387634277,gan,gan,cnn,cnn,0
44,44,19.781150575177055,13.855413188888303,15.503332275839504,6.20600700378418,7.041088581085205,6.716445446014404,gan,gan,cnn,cnn,0
45,45,20.528037851461004,13.609391097429418,16.55474506878746,6.566225528717041,6.773196697235107,6.287393569946289,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
46,46,20.678325640697178,16.27228595124608,16.353623130680937,6.243154048919678,6.650214672088623,6.412731170654297,gan,gan,cnn,cnn,0
47,47,22.201753073772625,13.108895112859523,17.007729257684634,6.789880752563477,7.498397350311279,7.133268356323242,gan,gan,cnn,cnn,0
48,48,22.832495463547907,13.107025960847848,17.36361899506958,7.081502437591553,6.682991981506348,6.289316177368164,gan,gan,gan,candidateF_grad_E2_low_expanded2688,1
49,49,22.105793975200847,13.662675111493924,17.399641783408246,6.3195295333862305,7.889017105102539,6.288148403167725,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
50,50,21.30877833114525,14.865452226211227,17.15745777185863,6.3856120109558105,6.713321685791016,6.325012683868408,gan,gan,cnn,candidateF_grad_E2_low_expanded2688,0
