sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateB_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
110,110,29.504241915198808,19.600364202728887,26.211678645103532,5.806641101837158,6.568319320678711,5.765561103820801,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
111,111,28.17742348677506,18.815230764049467,25.25459801225424,5.513612270355225,8.167459487915039,5.569292068481445,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,24.893487205468887,5.637857913970947,6.682409286499023,5.419687747955322,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
113,113,26.010710160777133,18.415536047943895,24.08647518781941,5.502909183502197,6.949485778808594,5.717663764953613,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,22.54295425999642,5.123978614807129,5.899235248565674,5.199958324432373,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,23.216139938430402,4.689971923828125,7.232174873352051,4.867351531982422,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,23.708549908251975,5.35050630569458,7.636551856994629,5.982378005981445,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,25.184740222489598,5.260716915130615,8.683184623718262,6.20442533493042,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,26.267093057848115,6.84329080581665,9.465571403503418,6.784861087799072,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
119,119,27.187847892928154,20.557132674744736,26.19769693000337,5.218785285949707,6.129123687744141,4.961783409118652,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
120,120,28.146732976702577,21.528863701574615,25.77509351975909,4.889072418212891,7.93386173248291,5.0772786140441895,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,26.377210332528605,5.373913288116455,7.535200595855713,4.7541399002075195,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
122,122,28.017758663142306,22.491589595860475,25.545033462780868,5.264456272125244,7.450175762176514,4.906384468078613,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
123,123,29.152924001075785,22.17220391892049,25.487092455079956,6.196282386779785,8.431406021118164,5.30930757522583,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
124,124,28.184626374879375,22.119830159019614,25.464284568061718,6.166434288024902,6.818744659423828,5.069778919219971,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
125,125,28.43981263564626,21.313574573250694,25.108648014466084,5.748098373413086,10.086677551269531,4.711517810821533,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
126,126,28.023492407781937,22.88972837862729,25.10444688319604,4.992148399353027,8.052214622497559,4.631097793579102,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
127,127,30.000730217921266,24.85609607980766,26.864910008869593,5.114649772644043,13.074076652526855,4.589391231536865,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
128,128,28.391923421353447,23.315252316365218,25.88443701524424,5.476268768310547,7.28298807144165,4.757578372955322,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
129,129,29.465245102227872,24.209883048645104,26.91428430376647,5.373117923736572,9.33877944946289,5.122641563415527,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
130,130,30.27324308013254,23.783031491875988,26.98718527370101,5.609683513641357,11.313863754272461,5.276637077331543,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
131,131,33.0539968727652,25.23355611194131,29.80829019701136,6.2030792236328125,12.011610984802246,7.293168067932129,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,30.75819547231786,6.331444263458252,12.388164520263672,6.769176006317139,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,30.871064144388058,6.299666404724121,7.647167682647705,6.526334762573242,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,28.72042665533336,7.141453742980957,13.276667594909668,5.952264308929443,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
135,135,29.944179549584543,20.502693507156053,26.776334984571136,6.298990726470947,11.993122100830078,4.68402624130249,gan,gan,cnn,candidateB_plus_E2_tf_lowlambda_expanded672,0
