sample_idx,metric,method_id,observed_value,reconstructed_value,absolute_difference,status
16,psnruv,speed_only,35.18144308811018,35.18144308811019,1.4210854715202004e-14,PASS
17,psnruv,speed_only,35.641971612763335,35.64197161276334,7.105427357601002e-15,PASS
18,psnruv,speed_only,36.079390993432106,36.07939099343211,7.105427357601002e-15,PASS
19,psnruv,speed_only,36.09262356471955,36.092623564719545,7.105427357601002e-15,PASS
20,psnruv,speed_only,36.00493119580908,36.00493119580908,0.0,PASS
21,psnruv,speed_only,36.1128736941831,36.112873694183094,7.105427357601002e-15,PASS
22,psnruv,speed_only,35.664742510180105,35.6647425101801,7.105427357601002e-15,PASS
23,psnruv,speed_only,35.6404410075234,35.64044100752339,7.105427357601002e-15,PASS
24,psnruv,speed_only,35.621096970782254,35.62109697078227,1.4210854715202004e-14,PASS
25,psnruv,speed_only,35.55169171417495,35.55169171417495,0.0,PASS
26,psnruv,speed_only,35.64657509993735,35.646575099937344,7.105427357601002e-15,PASS
27,psnruv,speed_only,35.60861896714219,35.60861896714219,0.0,PASS
28,psnruv,speed_only,35.42636895689123,35.426368956891224,7.105427357601002e-15,PASS
29,psnruv,speed_only,35.61233027001245,35.61233027001245,0.0,PASS
30,psnruv,speed_only,35.78021102630164,35.78021102630164,0.0,PASS
31,psnruv,speed_only,35.596293579117024,35.596293579117024,0.0,PASS
32,psnruv,speed_only,35.64990749476681,35.6499074947668,7.105427357601002e-15,PASS
33,psnruv,speed_only,35.51574221430383,35.51574221430382,7.105427357601002e-15,PASS
34,psnruv,speed_only,35.35141687295582,35.35141687295582,0.0,PASS
35,psnruv,speed_only,34.87546669596365,34.875466695963645,7.105427357601002e-15,PASS
36,psnruv,speed_only,34.65578322357724,34.65578322357723,7.105427357601002e-15,PASS
37,psnruv,speed_only,34.4789670165855,34.47896701658551,7.105427357601002e-15,PASS
38,psnruv,speed_only,35.592555238898726,35.59255523889873,7.105427357601002e-15,PASS
39,psnruv,speed_only,36.56853006768089,36.56853006768088,7.105427357601002e-15,PASS
40,psnruv,speed_only,37.39616036208444,37.396160362084444,7.105427357601002e-15,PASS
41,psnruv,speed_only,37.686417261694885,37.686417261694885,0.0,PASS
42,psnruv,speed_only,38.399194976806356,38.399194976806356,0.0,PASS
43,psnruv,speed_only,38.44247507858889,38.442475078588885,7.105427357601002e-15,PASS
44,psnruv,speed_only,37.54727381477033,37.54727381477033,0.0,PASS
45,psnruv,speed_only,36.089699987156635,36.089699987156635,0.0,PASS
46,psnruv,speed_only,35.16567499017669,35.16567499017668,7.105427357601002e-15,PASS
47,psnruv,speed_only,35.10888381982662,35.108883819826616,7.105427357601002e-15,PASS
48,psnruv,speed_only,34.70041747759669,34.70041747759669,0.0,PASS
49,psnruv,speed_only,34.65253023409762,34.65253023409762,0.0,PASS
50,psnruv,speed_only,34.60492952561052,34.604929525610515,7.105427357601002e-15,PASS
51,psnruv,speed_only,34.34546225052144,34.34546225052145,7.105427357601002e-15,PASS
52,psnruv,speed_only,34.70439685654666,34.70439685654666,0.0,PASS
53,psnruv,speed_only,34.856778303862164,34.85677830386217,7.105427357601002e-15,PASS
54,psnruv,speed_only,34.856065587325055,34.856065587325055,0.0,PASS
55,psnruv,speed_only,34.56827110409616,34.56827110409615,1.4210854715202004e-14,PASS
56,psnruv,speed_only,34.18567907878641,34.185679078786414,7.105427357601002e-15,PASS
57,psnruv,speed_only,33.49058766828624,33.49058766828625,1.4210854715202004e-14,PASS
58,psnruv,speed_only,32.89671841742083,32.89671841742083,0.0,PASS
59,psnruv,speed_only,32.92728507593199,32.92728507593199,0.0,PASS
60,psnruv,speed_only,32.624406158742545,32.62440615874254,7.105427357601002e-15,PASS
61,psnruv,speed_only,31.80611283799073,31.806112837990725,7.105427357601002e-15,PASS
62,psnruv,speed_only,31.686422811301256,31.686422811301252,3.552713678800501e-15,PASS
63,psnruv,speed_only,31.607705582686606,31.60770558268661,3.552713678800501e-15,PASS
64,psnruv,speed_only,32.4840040296573,32.48400402965729,7.105427357601002e-15,PASS
65,psnruv,speed_only,32.958694942732734,32.958694942732734,0.0,PASS
66,psnruv,speed_only,33.032960018626696,33.0329600186267,7.105427357601002e-15,PASS
67,psnruv,speed_only,32.96225663919701,32.96225663919701,0.0,PASS
68,psnruv,speed_only,32.681381529721364,32.681381529721364,0.0,PASS
69,psnruv,speed_only,31.663099067566357,31.663099067566367,1.0658141036401503e-14,PASS
70,psnruv,speed_only,31.869909803577624,31.869909803577627,3.552713678800501e-15,PASS
71,psnruv,speed_only,31.897422910212715,31.89742291021271,3.552713678800501e-15,PASS
72,psnruv,speed_only,31.721302279038486,31.721302279038483,3.552713678800501e-15,PASS
73,psnruv,speed_only,31.607937313713236,31.607937313713233,3.552713678800501e-15,PASS
74,psnruv,speed_only,31.629684761846832,31.629684761846832,0.0,PASS
75,psnruv,speed_only,31.318207121667687,31.318207121667683,3.552713678800501e-15,PASS
76,psnruv,speed_only,31.133359692116695,31.133359692116695,0.0,PASS
77,psnruv,speed_only,30.63104254767777,30.63104254767777,0.0,PASS
78,psnruv,speed_only,30.50055517287649,30.50055517287648,7.105427357601002e-15,PASS
79,psnruv,speed_only,30.663657615593976,30.663657615593976,0.0,PASS
80,psnruv,speed_only,30.559909969782005,30.559909969782,3.552713678800501e-15,PASS
81,psnruv,speed_only,30.653207896789045,30.653207896789045,0.0,PASS
82,psnruv,speed_only,30.538555089996766,30.538555089996763,3.552713678800501e-15,PASS
