contrast_id,contrast_family,base_method,comparison_method,sample_idx,metric,metric_family,direction,base_value,comparison_value,raw_delta,oriented_improvement
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,27,speed_rmse,scalar_speed,lower_is_better,1.1910217630081792,1.2967085975977177,0.10568683458953854,-0.10568683458953854
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,28,speed_rmse,scalar_speed,lower_is_better,1.1910593522038178,1.3022981942821628,0.111238842078345,-0.111238842078345
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,29,speed_rmse,scalar_speed,lower_is_better,1.2031817718972495,1.3152479133536867,0.11206614145643723,-0.11206614145643723
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,30,speed_rmse,scalar_speed,lower_is_better,1.1890498754342027,1.3048262859615671,0.11577641052736443,-0.11577641052736443
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,31,speed_rmse,scalar_speed,lower_is_better,1.1804634740407804,1.2834239751847065,0.10296050114392608,-0.10296050114392608
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,32,speed_rmse,scalar_speed,lower_is_better,1.171624106974967,1.272381668069661,0.1007575610946938,-0.1007575610946938
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,33,speed_rmse,scalar_speed,lower_is_better,1.1653639490442325,1.2577258104609954,0.09236186141676295,-0.09236186141676295
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,34,speed_rmse,scalar_speed,lower_is_better,1.190005343315532,1.2769283425859064,0.08692299927037439,-0.08692299927037439
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,35,speed_rmse,scalar_speed,lower_is_better,1.2122158796328977,1.312770527405714,0.10055464777281631,-0.10055464777281631
e2_vs_crit_b,e2_vs_crit_matched_scaffold,candidate_c,b_e2,36,speed_rmse,scalar_speed,lower_is_better,1.2052959951106992,1.3012286028750912,0.09593260776439205,-0.09593260776439205
