design_id,method_id,metric,metric_family,direction,n_valid,mean,median,standard_deviation,standard_error,iid_bootstrap_ci95_low,iid_bootstrap_ci95_high
B_FACTORIAL_2x3,grad_only,grad_mae,gradient_distribution,lower_is_better,168,0.30881811157693567,0.3099902991605499,0.06544871294109125,0.005049477828758848,0.29919004513393005,0.3187402843543392
B_FACTORIAL_2x3,speed_grad,grad_mae,gradient_distribution,lower_is_better,168,0.3123017177143877,0.31188654154857715,0.0664744995146934,0.005128618981085323,0.3024730676135155,0.3223105392206571
B_FACTORIAL_2x3,grad_levelset,grad_mae,gradient_distribution,lower_is_better,168,0.3115995487367239,0.3112390519411957,0.06629873798709965,0.005115058684834237,0.3018142005546568,0.32159694971497754
B_FACTORIAL_2x3,candidate_b,grad_mae,gradient_distribution,lower_is_better,168,0.31240406358805717,0.31261843262152456,0.06658373560798465,0.005137046728651128,0.3025784886469032,0.32243805272654325
B_FACTORIAL_2x3,uv,grad_w1,gradient_distribution,lower_is_better,168,0.24960980730355606,0.2519075302898983,0.05958150458500384,0.004596812876623915,0.2406842903392957,0.25835953173943516
B_FACTORIAL_2x3,speed_only,grad_w1,gradient_distribution,lower_is_better,168,0.24909343584849447,0.2515771540640617,0.059433986133371676,0.004585431580989884,0.2401983068556874,0.25782464435060476
B_FACTORIAL_2x3,levelset_only,grad_w1,gradient_distribution,lower_is_better,168,0.24915342560721743,0.252150956081792,0.05904209082555258,0.004555196201574428,0.24028267738831843,0.2578408464561229
B_FACTORIAL_2x3,speed_levelset,grad_w1,gradient_distribution,lower_is_better,168,0.24571511538175703,0.2485812691377853,0.058815539345245624,0.004537717375399311,0.2368868461669308,0.254360345832986
B_FACTORIAL_2x3,grad_only,grad_w1,gradient_distribution,lower_is_better,168,0.17512782848217615,0.17201598833868892,0.04418085052739737,0.0034086266202759345,0.16862172553505386,0.18176812026236716
B_FACTORIAL_2x3,speed_grad,grad_w1,gradient_distribution,lower_is_better,168,0.19585936885364827,0.19497730065520236,0.04801196482278463,0.0037042035052088913,0.18872916236856213,0.2029699500871756
B_FACTORIAL_2x3,grad_levelset,grad_w1,gradient_distribution,lower_is_better,168,0.19432274703721855,0.19333161881918925,0.04678040918544276,0.0036091869249556163,0.1873923058589193,0.201246606369228
B_FACTORIAL_2x3,candidate_b,grad_w1,gradient_distribution,lower_is_better,168,0.1996129982297537,0.2000025810670227,0.048927556323926695,0.0037748429231204117,0.19229544515131478,0.20685018758643148
B_FACTORIAL_2x3,uv,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,5.579251153128264,4.658441498288789,4.845358479507963,0.3738275225776534,4.8577200601782975,6.333572963091831
B_FACTORIAL_2x3,speed_only,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,5.131221651056193,4.175359558746009,4.438573595777208,0.34244338744085556,4.471694353427404,5.819573847593739
B_FACTORIAL_2x3,levelset_only,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,5.261340299407154,4.368844561638425,4.524242826656967,0.34905291209756695,4.59131926290137,5.960655410410735
B_FACTORIAL_2x3,speed_levelset,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,5.271491014423601,4.405572612393946,4.4740347835620105,0.3451792774752705,4.606736516690096,5.962591603209652
B_FACTORIAL_2x3,grad_only,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,2.5098126452242937,1.693070875334417,2.4889064612491434,0.19202330235651915,2.144126879598654,2.8982895474068444
B_FACTORIAL_2x3,speed_grad,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,2.9340305874682198,2.019902828394274,2.765537060880183,0.21336581646906497,2.5249225466347376,3.361146722660448
B_FACTORIAL_2x3,grad_levelset,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,2.8487062035138413,1.9853787149680944,2.6909584152045625,0.2076119490373729,2.4507822032055375,3.2627621266690667
B_FACTORIAL_2x3,candidate_b,grad_kurtosis_abs_delta,gradient_distribution,lower_is_better,168,2.937408212757929,2.087751309489411,2.663138545505255,0.2054655994923169,2.542744145756024,3.343674719064336
