sample_idx,metric,metric_family,direction,effect_id,effect_order,factors,raw_regression_coefficient,raw_factorial_effect,oriented_regression_coefficient,oriented_factorial_effect
32,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.13605498459129617,-0.27210996918259234,-0.13605498459129617,-0.27210996918259234
33,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.11592932019964053,-0.23185864039928106,-0.11592932019964053,-0.23185864039928106
34,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.09701290291257614,-0.19402580582515228,-0.09701290291257614,-0.19402580582515228
35,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.10541958502983917,-0.21083917005967834,-0.10541958502983917,-0.21083917005967834
36,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.10398914256140568,-0.20797828512281136,-0.10398914256140568,-0.20797828512281136
37,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.12012161873370708,-0.24024323746741416,-0.12012161873370708,-0.24024323746741416
38,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.11661295926310355,-0.2332259185262071,-0.11661295926310355,-0.2332259185262071
39,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.10101095292467033,-0.20202190584934065,-0.10101095292467033,-0.20202190584934065
40,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.10348467936515426,-0.20696935873030853,-0.10348467936515426,-0.20696935873030853
41,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.12391798549889721,-0.24783597099779442,-0.12391798549889721,-0.24783597099779442
42,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1389160731985868,-0.2778321463971736,-0.1389160731985868,-0.2778321463971736
43,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1340706229309374,-0.2681412458618748,-0.1340706229309374,-0.2681412458618748
44,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1333064135076496,-0.2666128270152992,-0.1333064135076496,-0.2666128270152992
45,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1476677444843011,-0.2953354889686022,-0.1476677444843011,-0.2953354889686022
46,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1607402590570377,-0.3214805181140754,-0.1607402590570377,-0.3214805181140754
47,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15690672652446125,-0.3138134530489225,-0.15690672652446125,-0.3138134530489225
48,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15796730209627263,-0.31593460419254527,-0.15796730209627263,-0.31593460419254527
49,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15408146117945698,-0.30816292235891396,-0.15408146117945698,-0.30816292235891396
50,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16589905535647453,-0.33179811071294907,-0.16589905535647453,-0.33179811071294907
51,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16538565526122007,-0.33077131052244013,-0.16538565526122007,-0.33077131052244013
52,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.15298950141372014,-0.3059790028274403,-0.15298950141372014,-0.3059790028274403
53,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16234113353234036,-0.32468226706468073,-0.16234113353234036,-0.32468226706468073
54,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.16267218831280061,-0.32534437662560123,-0.16267218831280061,-0.32534437662560123
55,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1553906798355058,-0.3107813596710116,-0.1553906798355058,-0.3107813596710116
56,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.153211893011731,-0.306423786023462,-0.153211893011731,-0.306423786023462
57,psnruv,vector_uv,higher_is_better,grad,1,grad,-0.1517658716779371,-0.3035317433558742,-0.1517658716779371,-0.3035317433558742
