sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_plus_E2_tf_lowlambda_expanded672,pd_winner_before,pd_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,mt_winner_before,mt_winner_after_candidateUV_plus_E2_tf_lowlambda_expanded672,was_mt_gan_win_before
141,141,30.122683212798776,22.35126448334632,28.29929469303654,6.186624050140381,8.889102935791016,5.832859992980957,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
142,142,31.864668972443802,25.40867751345393,30.382226980729506,7.186554908752441,8.55953311920166,6.753683090209961,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
143,143,31.729557469133276,25.608920781987035,29.418642125527267,5.864097595214844,9.649337768554688,6.06166934967041,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,29.36915653591193,5.560759544372559,9.771649360656738,6.122553825378418,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,28.07278050536715,5.902344226837158,8.558032035827637,5.963771343231201,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,27.320898924090883,5.959416389465332,7.056334018707275,5.735777378082275,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
147,147,26.585106339400784,22.003227031713678,25.664376464918615,5.6108717918396,6.8347039222717285,5.565232753753662,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
148,148,26.258461074996504,21.1331690923618,25.2400138540931,5.0148024559021,8.882506370544434,5.495934963226318,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,24.27688850817303,5.752551078796387,8.038224220275879,5.4601054191589355,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
150,150,24.128591365700505,20.19277068635915,22.967558827258248,5.291886329650879,7.924254417419434,5.305841445922852,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,23.13845625461644,5.580901145935059,7.460690975189209,5.838352680206299,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,23.517338905230694,5.931854248046875,8.478921890258789,5.8623151779174805,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
153,153,25.168802860244767,16.23765159094386,23.82036852491385,6.290019989013672,6.548172950744629,6.404476642608643,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,23.537153773780204,5.889771461486816,5.736759185791016,6.638551712036133,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,24.11156284026047,6.413660526275635,6.612644195556641,5.702816009521484,gan,gan,cnn,candidateUV_plus_E2_tf_lowlambda_expanded672,0
156,156,25.16401321091786,17.879759557761357,23.84257460355314,5.162914276123047,9.264598846435547,5.805060863494873,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,24.69278746034446,4.567626476287842,8.282842636108398,4.709383010864258,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,26.425698594202977,5.708489894866943,8.312358856201172,6.091266632080078,gan,gan,cnn,cnn,0
