sample,poster_score,d_B_CNN,d_B_Ablation,d_B_Topology-inspired,gain_dB_vs_Ablation_pct,W2_CNN,W2_Ablation,W2_Topology-inspired,gain_W2_vs_Ablation_pct,PSNR_CNN,PSNR_Ablation,PSNR_Topology-inspired,PSNR_drop_vs_Ablation,SSIM_CNN,SSIM_Ablation,SSIM_Topology-inspired,SSIM_drop_vs_Ablation
11,27.876215494120093,2.769370079040528,2.6233205795288086,1.7311630249023438,34.00871252977823,21.24124831425401,21.770516307159205,16.600677279001005,23.746974831543643,31.748350858788758,34.412276082470754,34.09725067522449,0.31502540724626726,0.729862606552587,0.8087768607228139,0.8037430489861942,0.005033811736619653
13,27.811406921126064,2.334368705749512,2.726095199584961,1.5615136623382568,42.719767725793574,21.132148911569757,21.094034712596542,16.604810970984463,21.281958633221024,30.30311362025517,32.92929439133092,32.58352197968093,0.34577241164998895,0.7019720824191004,0.7866003388142369,0.781043002737142,0.005557336077094854
14,27.712801799419903,2.904621124267578,3.520148277282715,2.095123291015625,40.48195911131051,19.902361555447907,20.456107763582263,15.817178866926191,22.677475843741377,30.774024198494217,33.301665303990745,32.987985936838676,0.31367936715206923,0.7045059019016037,0.7863656509256177,0.7811342392190473,0.005231411706570377
15,27.56076623258182,2.9429564476013184,3.530791759490967,2.0981483459472656,40.57569834563806,17.606606279509506,18.620955510339904,14.359988828246284,22.882642513847248,31.45612699358063,34.179704252385356,33.86190445026262,0.3177998021227353,0.7163722985527335,0.7956360944542408,0.7900972048604777,0.00553888959376303
61,27.469288541609068,2.668421745300293,3.245643615722656,2.060675621032715,36.509491952526126,16.996646440510947,18.11733232699776,13.620264549917048,24.821909185710272,29.865895259214497,31.811980769696543,31.48015047885873,0.33183029083781435,0.7316682848941807,0.793415038608628,0.7929760971654947,0.00043894144313338934
119,27.369646006731912,1.925682842731476,2.634242057800293,1.7798333168029783,32.43470881756338,18.362066003878148,22.91931475615945,15.224484112483688,33.573563282941585,30.43036359868084,33.21908270916359,32.85487064531417,0.36421206384941485,0.7353426800165713,0.8096609676509459,0.8090044223310269,0.0006565453199189886
112,27.34842655629053,3.651610374450684,3.3128719329833984,2.4540281295776367,25.924449262737788,16.89122937441689,18.92724243526043,13.254993096657056,29.96870441114168,30.45015130750225,32.82037388441065,32.50875240977664,0.31162147463400913,0.7244779498983197,0.7996501214694635,0.7993104493519659,0.0003396721174975248
109,26.961568641738943,2.526127815246582,2.4735641479492188,1.8258447647094729,26.185671545116655,18.678710948709163,21.45023008716568,14.913346804993216,30.47465344478369,29.340460131888747,31.54298566801073,31.198260866008575,0.3447248020021547,0.722869843993357,0.7948847955240951,0.795075177115937,-0.00019038159184192605
147,26.889917305077603,3.201366424560547,4.004789352416992,2.2964324951171875,42.65784556855076,18.477797449503345,22.57994818231218,16.929421872640173,25.024531783905072,30.393444504602453,33.310570779619574,32.95142328397638,0.35914749564319237,0.7004487054891361,0.7953122676818872,0.7887206605152031,0.006591607166684166
66,26.822544912887736,3.4150962829589844,2.7773513793945312,2.030079841613769,26.905905508566548,12.27776883171228,12.577983075778128,9.431004740186417,25.019737398533795,31.07904826800279,33.043067627564774,32.7995658358998,0.24350179166497554,0.7515607836018967,0.81215139336452,0.8104292041485495,0.0017221892159705599
113,26.67088507286993,2.521575927734375,2.6446762084960938,1.9397335052490237,26.65516107349635,14.818151568996152,17.41763533238179,12.025600083153654,30.9573323033328,30.187587966342992,32.57972604005027,32.26118728257514,0.3185387574751246,0.7167967801775413,0.7954827764421258,0.7951210102333249,0.0003617662088009066
111,26.45268656005682,2.920400619506836,3.301473617553711,2.399160623550415,27.33061349349451,17.255184163726213,19.7003222487549,13.6725813399782,30.597169085179132,30.90363327801762,33.17310473590172,32.85714468642412,0.3159600494775958,0.7264306708644134,0.7986182747442635,0.7988558473983093,-0.0002375726540457812
89,26.4062474253394,3.5620365142822266,3.2928524017333984,2.330774307250977,29.21716424264785,15.42668141836469,16.274980539318097,12.28424964533296,24.520649252661684,29.334538103760796,31.590577200973044,31.341277392978036,0.2492998079950084,0.7043491591828217,0.7861397309094171,0.7831350284852382,0.00300470242417894
69,26.269665631308918,3.0670461654663086,2.4362078309059143,1.8370148539543152,24.595314461688872,14.572267291060031,15.256231217222494,11.263042780787464,26.174147334154124,29.625455010483247,31.67713703679079,31.34845101038957,0.32868602640121836,0.715829197855532,0.7840697289973815,0.7840256914652342,4.403753214732298e-05
71,26.233035587617735,2.695690512657165,3.175124168395996,2.299694061279297,27.571523527501842,17.1397252457267,18.568872884983094,12.94763329845738,30.272379057921654,29.930840678863813,31.9103677116291,31.578264090222078,0.3321036214070219,0.7249862492297191,0.7936830904423451,0.7943413494717612,-0.0006582590294160751
12,26.024199901852096,2.92824935913086,2.6756696701049805,1.9652786254882808,26.550027925862288,21.61385246141069,21.395611430138796,16.241107632558894,24.091406849532902,31.323965112591917,34.022626986037736,33.687158837581585,0.335468148456151,0.7196795007119844,0.80041184980563,0.7951459188718081,0.005265930933821883
97,25.985910052215647,2.8385791778564453,3.814707279205322,2.630514144897461,31.042831012568584,21.53798367417303,25.604739269073765,17.596675156388,31.275710439895654,28.651894194812353,30.806678497915165,30.4690392235312,0.3376392743839638,0.6617771533464998,0.7529933835375529,0.7539020860859206,-0.0009087025483677236
85,25.837805190609146,2.7544641494750977,2.7158517837524414,1.957864761352539,27.909734505194752,20.650305736783025,21.717252185004785,16.30520360179456,24.92050346473901,28.91655199571094,30.837289903521025,30.549486090354613,0.2878038131664127,0.7021081614085511,0.7769097920024333,0.7773369095746449,-0.0004271175722115883
16,25.821009496451147,3.7057313919067374,4.419394493103027,2.802030563354492,36.59695762106364,15.663241542073273,15.66035506611805,12.337679546461684,21.2171148459152,32.17583877075084,35.18992556477706,34.85342168327329,0.3365038815037735,0.7409821546655159,0.8172152847872329,0.8115695204375091,0.0056457643497238585
50,25.675934167744597,1.9431967735290527,1.7064223289489746,1.1719493940472605,31.32125768835365,10.438984053854549,10.646141993707577,8.36903908445221,21.38899622606249,32.34835071339406,34.60723616583735,34.3158523614335,0.2913838044038499,0.7839932296052042,0.8455255034367825,0.8433075529245386,0.002217950512243827
