sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB,pd_winner_before,pd_winner_after_candidateB,mt_winner_before,mt_winner_after_candidateB,was_mt_gan_win_before
85,85,28.72250736297703,20.7490839418831,26.832746460602706,5.609640121459961,7.718591690063477,5.780384063720703,gan,gan,cnn,cnn,0
86,86,29.195361276159034,18.84606490909817,27.171948626462974,5.25334358215332,9.43416690826416,5.915912628173828,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,27.275424071310013,6.509652614593506,7.174471855163574,7.450545310974121,gan,gan,cnn,cnn,0
88,88,26.37509421416108,18.396084436387564,23.889507605110566,6.411813259124756,6.487721920013428,6.423703670501709,gan,gan,cnn,cnn,0
89,89,24.29846982632471,17.197907308437554,21.455616243815506,6.017302513122559,6.256072521209717,6.169535160064697,gan,gan,cnn,cnn,0
90,90,22.206834090995343,17.32676746960286,19.284280077725356,5.257880687713623,5.663510322570801,5.496725559234619,gan,gan,cnn,cnn,0
91,91,22.30942508877806,16.266054339767617,19.72034827288439,5.508337497711182,5.519831657409668,6.575161933898926,gan,gan,cnn,cnn,0
92,92,22.07932597419188,16.807703363287136,19.83489398206967,5.735818386077881,5.677903175354004,5.8324151039123535,gan,gan,gan,gan,1
93,93,24.402894658345392,18.13548367922437,23.051332950013492,6.506997585296631,6.816009521484375,5.894794940948486,gan,gan,cnn,candidateB,0
94,94,24.570031527820365,20.006869187749356,24.226601240126715,5.102908611297607,6.517361164093018,6.130191802978516,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,25.914567119648268,5.015480041503906,6.677723407745361,5.550070762634277,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,28.220932848539775,5.121858596801758,7.258078575134277,5.342690467834473,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,28.813042081408085,5.011539936065674,7.223494529724121,5.177980899810791,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,29.41884912578644,4.942448139190674,8.764951705932617,5.379695892333984,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,29.818713716146338,5.342334747314453,7.760592460632324,5.754580497741699,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,29.339174144854788,5.912055015563965,7.617006778717041,5.621122360229492,gan,gan,cnn,candidateB,0
101,101,30.40796712150836,20.937383941054357,28.662574155816632,5.357294082641602,7.0666680335998535,5.414937496185303,gan,gan,cnn,cnn,0
102,102,29.254680859214627,20.257793175726828,27.223163690178794,5.164434909820557,8.231893539428711,5.915370464324951,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,27.763950322570476,5.102769374847412,6.314839839935303,5.314781188964844,gan,gan,cnn,cnn,0
104,104,29.173745320955113,20.12992358587829,27.285357103470233,4.829194068908691,7.393864154815674,5.04921293258667,gan,gan,cnn,cnn,0
105,105,29.338582011466166,19.283104237304943,27.186725980415446,5.33697509765625,6.823482513427734,5.3015456199646,gan,gan,cnn,candidateB,0
106,106,30.092821360744658,20.00547041151677,27.393555709999262,5.767349720001221,6.75129508972168,5.508633136749268,gan,gan,cnn,candidateB,0
107,107,29.64376642955138,20.682183399063746,26.71281103741849,5.574344635009766,7.6041154861450195,5.326969623565674,gan,gan,cnn,candidateB,0
108,108,28.940126674621943,21.1993064034262,26.77776255177138,5.6898322105407715,7.595790386199951,5.607050895690918,gan,gan,cnn,candidateB,0
109,109,28.97319829057234,20.853111383838083,26.355867297740858,5.088190078735352,7.198193550109863,5.04433012008667,gan,gan,cnn,candidateB,0
110,110,29.504241915198808,19.600364202728887,26.94190249604811,5.806641101837158,6.568319320678711,5.732553482055664,gan,gan,cnn,candidateB,0
111,111,28.17742348677506,18.815230764049467,25.863183179815916,5.513612270355225,8.167459487915039,5.4816083908081055,gan,gan,cnn,candidateB,0
112,112,27.49742127818127,19.372446559915602,25.391098082717527,5.637857913970947,6.682409286499023,5.677003860473633,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,24.045706004890516,5.502909183502197,6.949485778808594,5.37544584274292,gan,gan,cnn,candidateB,0
114,114,24.541486090961616,16.84887862793787,22.46955277616873,5.123978614807129,5.899235248565674,5.410416126251221,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,23.96387796707085,4.689971923828125,7.232174873352051,4.994778633117676,gan,gan,cnn,cnn,0
