sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV,pd_winner_before,pd_winner_after_candidateUV,mt_winner_before,mt_winner_after_candidateUV,was_mt_gan_win_before
65,65,22.148883751156426,16.23947552161985,23.800110764808487,5.820770263671875,5.576780319213867,5.744134902954102,gan,gan,gan,gan,1
66,66,20.981857591368968,15.979342195015368,22.516672871979434,5.701828956604004,6.4086198806762695,5.621123313903809,gan,gan,cnn,candidateUV,0
67,67,20.679919922717943,14.773695042869097,21.96843456060147,5.030301094055176,6.6433844566345215,5.028878688812256,gan,gan,cnn,candidateUV,0
68,68,21.77134223692748,15.500930745161975,23.15307712524755,6.074338436126709,5.670867919921875,6.143295764923096,gan,gan,gan,gan,1
69,69,24.168055816700438,16.112222498232782,26.027390931993775,5.17050838470459,6.406604290008545,5.697033405303955,gan,gan,cnn,cnn,0
70,70,24.673819113934496,19.882401938586153,26.812114355835583,5.396136283874512,5.861793041229248,5.676339149475098,gan,gan,cnn,cnn,0
71,71,25.505047306429027,18.465741214218955,27.981485436071914,5.1588335037231445,7.186563014984131,6.129687786102295,gan,gan,cnn,cnn,0
72,72,26.514111621573456,19.679320844931677,29.130269813233703,4.796044826507568,5.719583988189697,6.268777847290039,gan,gan,cnn,cnn,0
73,73,27.001473804134946,19.399004976672177,30.34839830455392,4.9851861000061035,5.75114631652832,6.585680961608887,gan,gan,cnn,cnn,0
74,74,28.28963162272453,20.10959212403172,31.744198257889785,4.782100200653076,5.644299030303955,6.883890628814697,gan,gan,cnn,cnn,0
