method,key,sample_idx,psnr,pd_distance,mt_distance
gan,gan_s75_speed_p160_x0_y0,75,12.267098242935006,43.19070024946319,24.1423397064209
gan,gan_s76_speed_p160_x0_y0,76,12.177577507504658,44.57281385573939,22.905954360961914
gan,gan_s77_speed_p160_x0_y0,77,11.778934176687997,44.79768433945774,19.010408401489258
gan,gan_s78_speed_p160_x0_y0,78,11.701822790233589,45.944770263412735,23.041973114013672
gan,gan_s79_speed_p160_x0_y0,79,11.864069606420614,46.07045585348043,19.05432891845703
gan,gan_s80_speed_p160_x0_y0,80,11.80378287531811,46.25077663865845,21.662622451782227
gan,gan_s81_speed_p160_x0_y0,81,11.991921219618973,46.647850835879225,25.220605850219727
gan,gan_s82_speed_p160_x0_y0,82,11.919220653677833,45.83527424101766,24.79326820373535
gan,gan_s83_speed_p160_x0_y0,83,11.969662371780505,45.92924296934677,22.363080978393555
gan,gan_s84_speed_p160_x0_y0,84,12.111690151560161,46.017344906011914,26.144216537475586
gan,gan_s85_speed_p160_x0_y0,85,12.118973384966782,44.62133395921637,21.946537017822266
gan,gan_s86_speed_p160_x0_y0,86,11.957026743974229,44.74308481700923,19.821741104125977
gan,gan_s87_speed_p160_x0_y0,87,12.536691457978643,42.74231319311285,15.190702438354492
gan,gan_s88_speed_p160_x0_y0,88,12.041343498555172,37.4263024978395,15.24325180053711
gan,gan_s89_speed_p160_x0_y0,89,11.15216919097688,36.38404892676502,13.63645076751709
gan,gan_s90_speed_p160_x0_y0,90,11.304897681472035,35.7739485857966,16.642126083374023
gan,gan_s91_speed_p160_x0_y0,91,12.055188604006537,36.66828729983837,11.273117065429688
gan,gan_s92_speed_p160_x0_y0,92,12.60005577518567,35.48291322718774,11.01553726196289
gan,gan_s93_speed_p160_x0_y0,93,12.253298051311841,37.01454350364663,19.444347381591797
gan,gan_s94_speed_p160_x0_y0,94,11.932279382957088,38.00069494803537,18.840238571166992
gan,gan_s95_speed_p160_x0_y0,95,11.322566685412305,39.30648815376714,16.608945846557617
gan,gan_s96_speed_p160_x0_y0,96,11.207391413176413,40.4815145782385,19.075185775756836
gan,gan_s97_speed_p160_x0_y0,97,11.06246984048882,41.33593197809757,18.838743209838867
gan,gan_s98_speed_p160_x0_y0,98,11.011502590523076,43.06684046090551,20.07151985168457
gan,gan_s99_speed_p160_x0_y0,99,11.158848577438217,42.09379526646514,18.11880111694336
gan,gan_s100_speed_p160_x0_y0,100,10.969704120648569,43.522693434336205,22.321170806884766
gan,gan_s101_speed_p160_x0_y0,101,10.347381482614178,44.111844947653864,25.500688552856445
gan,gan_s102_speed_p160_x0_y0,102,10.486832476521105,42.36142569077711,19.106307983398438
gan,gan_s103_speed_p160_x0_y0,103,10.234514049106377,42.253325690693345,26.03277015686035
gan,gan_s104_speed_p160_x0_y0,104,10.053228957034019,43.36242191915131,28.729467391967773
gan,gan_s105_speed_p160_x0_y0,105,10.298291065683873,44.57262548403541,32.60515213012695
gan,gan_s106_speed_p160_x0_y0,106,10.651448952412125,46.227371060295916,29.934009552001953
gan,gan_s107_speed_p160_x0_y0,107,10.243843017761264,46.88604736135386,36.82601547241211
gan,gan_s108_speed_p160_x0_y0,108,11.052348417659783,45.869857725290366,26.773040771484375
gan,gan_s109_speed_p160_x0_y0,109,10.19666537692817,45.17536936546084,27.08778953552246
gan,gan_s110_speed_p160_x0_y0,110,10.719012124798788,45.56280619040239,22.53459930419922
gan,gan_s111_speed_p160_x0_y0,111,11.35986136135805,44.157580847467365,23.96986198425293
gan,gan_s112_speed_p160_x0_y0,112,10.577483367171837,42.64787321607083,25.070964813232422
gan,gan_s113_speed_p160_x0_y0,113,10.000520418350018,41.150971311067885,21.650415420532227
gan,gan_s114_speed_p160_x0_y0,114,10.073777696704468,41.05634132807197,25.271860122680664
gan,gan_s115_speed_p160_x0_y0,115,10.734127015183937,37.92908798719012,24.592771530151367
gan,gan_s116_speed_p160_x0_y0,116,10.540152635076343,38.60029035246177,26.82721710205078
gan,gan_s117_speed_p160_x0_y0,117,10.663759266569368,41.42427572442155,27.561817169189453
gan,gan_s118_speed_p160_x0_y0,118,10.682427785874172,48.68307015133337,17.779321670532227
