method,key,sample_idx,ssim,pd_distance,mt_distance
cnn,cnn_s117_speed_p160_x0_y0,117,0.5117964977875122,34.297013327703105,11.412581443786621
cnn,cnn_s118_speed_p160_x0_y0,118,0.4654380551547273,39.57073903887771,10.767620086669922
cnn,cnn_s119_speed_p160_x0_y0,119,0.450760353988572,40.588904196518314,12.658984184265137
cnn,cnn_s120_speed_p160_x0_y0,120,0.4646108911645725,40.8737060920996,13.103515625
cnn,cnn_s121_speed_p160_x0_y0,121,0.4525704197817388,42.707387104237576,13.544977188110352
cnn,cnn_s122_speed_p160_x0_y0,122,0.4453603219974032,43.89000299694416,12.73664379119873
cnn,cnn_s123_speed_p160_x0_y0,123,0.42272604856256524,44.53211515599249,12.742769241333008
cnn,cnn_s124_speed_p160_x0_y0,124,0.41613527384375365,44.57438839751205,12.947576522827148
cnn,cnn_s125_speed_p160_x0_y0,125,0.4209323261612419,42.76952978383624,14.168416023254395
cnn,cnn_s126_speed_p160_x0_y0,126,0.4342112144248894,42.32249394536492,13.411787033081055
cnn,cnn_s127_speed_p160_x0_y0,127,0.41751500969716576,43.63067560309489,13.094024658203125
cnn,cnn_s128_speed_p160_x0_y0,128,0.4050675673752389,42.5672385706163,10.688158988952637
cnn,cnn_s129_speed_p160_x0_y0,129,0.43751860784779567,41.27747190721476,8.484464645385742
cnn,cnn_s130_speed_p160_x0_y0,130,0.4446764774271067,40.47014842622414,7.681793689727783
cnn,cnn_s131_speed_p160_x0_y0,131,0.4392908564655632,41.417161891370576,7.694051742553711
cnn,cnn_s132_speed_p160_x0_y0,132,0.4350596390737262,41.98480648510864,6.974740028381348
cnn,cnn_s133_speed_p160_x0_y0,133,0.4486008946351007,41.675055721459756,6.249068260192871
cnn,cnn_s134_speed_p160_x0_y0,134,0.4917305192508524,38.14020405715272,5.851230621337891
cnn,cnn_s135_speed_p160_x0_y0,135,0.5000303785608041,34.0500103389288,4.850003242492676
cnn,cnn_s136_speed_p160_x0_y0,136,0.5099826740682174,32.705642910761,5.322648525238037
cnn,cnn_s137_speed_p160_x0_y0,137,0.49949222395722465,31.450244531919147,6.202611923217773
cnn,cnn_s138_speed_p160_x0_y0,138,0.5157865683641282,31.542281133999335,6.55118465423584
cnn,cnn_s139_speed_p160_x0_y0,139,0.4992023159379716,30.103016225177374,7.796177864074707
cnn,cnn_s140_speed_p160_x0_y0,140,0.4786235140251412,31.194285837084532,8.54101276397705
cnn,cnn_s141_speed_p160_x0_y0,141,0.4289536485132988,35.64582804781322,6.2118239402771
cnn,cnn_s142_speed_p160_x0_y0,142,0.36793646071065716,39.40201570520756,7.050217151641846
cnn,cnn_s143_speed_p160_x0_y0,143,0.39049834108326353,35.405181134671736,6.156033039093018
cnn,cnn_s144_speed_p160_x0_y0,144,0.35993947793529885,33.276548889443305,5.705910682678223
cnn,cnn_s145_speed_p160_x0_y0,145,0.3516542059485963,32.435718487070446,6.1010212898254395
cnn,cnn_s146_speed_p160_x0_y0,146,0.27839173177341264,34.375638021404306,6.629636287689209
cnn,cnn_s147_speed_p160_x0_y0,147,0.2227905677691942,34.62247541443747,6.244802951812744
cnn,cnn_s148_speed_p160_x0_y0,148,0.20647958995477014,33.483799630764125,5.778331279754639
cnn,cnn_s149_speed_p160_x0_y0,149,0.26897996051047607,32.64329194740052,7.873934268951416
cnn,cnn_s150_speed_p160_x0_y0,150,0.308785876600174,30.70249950977709,5.6295599937438965
cnn,cnn_s151_speed_p160_x0_y0,151,0.27901736242477826,29.776702604996938,6.56955623626709
cnn,cnn_s152_speed_p160_x0_y0,152,0.2889534672242142,28.55705310545637,7.303607940673828
cnn,cnn_s153_speed_p160_x0_y0,153,0.3393348974066383,27.272026101955646,9.722848892211914
cnn,cnn_s154_speed_p160_x0_y0,154,0.37997087126887585,25.6476226030454,11.71461296081543
cnn,cnn_s155_speed_p160_x0_y0,155,0.4040104565616842,25.591091598786083,11.29028034210205
