sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_levelset_expanded2688,was_mt_gan_win_before
105,105,29.338582011466166,19.283104237304943,22.096458800288712,5.33697509765625,6.823482513427734,5.634559154510498,gan,gan,cnn,cnn,0
106,106,30.092821360744658,20.00547041151677,21.653408900907078,5.767349720001221,6.75129508972168,5.868618488311768,gan,gan,cnn,cnn,0
107,107,29.64376642955138,20.682183399063746,21.190128525307898,5.574344635009766,7.6041154861450195,5.904460430145264,gan,gan,cnn,cnn,0
108,108,28.940126674621943,21.1993064034262,22.319983810852698,5.6898322105407715,7.595790386199951,6.012566566467285,gan,gan,cnn,cnn,0
109,109,28.97319829057234,20.853111383838083,21.9568828525147,5.088190078735352,7.198193550109863,5.681097984313965,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,22.59412094029215,5.806641101837158,6.568319320678711,5.900572776794434,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,21.72060917398899,5.513612270355225,8.167459487915039,6.011635780334473,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,20.776717251780962,5.637857913970947,6.682409286499023,5.948906898498535,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,19.678768969751218,5.502909183502197,6.949485778808594,6.227995872497559,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,19.255955997169515,5.123978614807129,5.899235248565674,6.27491569519043,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,19.50548428916182,4.689971923828125,7.232174873352051,5.643024921417236,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,20.42125116618562,5.35050630569458,7.636551856994629,5.631749629974365,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,22.05344000128697,5.260716915130615,8.683184623718262,6.054229259490967,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,24.166322249569806,6.84329080581665,9.465571403503418,7.563061714172363,gan,gan,cnn,cnn,0
119,119,27.187847892928154,20.557132674744736,23.810724088284115,5.218785285949707,6.129123687744141,6.20941162109375,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,24.269739565231827,4.889072418212891,7.93386173248291,5.851161479949951,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,23.998193297073446,5.373913288116455,7.535200595855713,5.239626407623291,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
122,122,28.017758663142306,22.491589595860475,24.11652443657108,5.264456272125244,7.450175762176514,5.718595027923584,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,24.102788759162806,6.196282386779785,8.431406021118164,6.190188407897949,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
124,124,28.184626374879375,22.119830159019614,23.554269442578832,6.166434288024902,6.818744659423828,6.603234767913818,gan,gan,cnn,cnn,0
125,125,28.43981263564626,21.313574573250694,22.97102376190601,5.748098373413086,10.086677551269531,5.628668308258057,gan,gan,cnn,candidateB_factorial_grad_levelset_expanded2688,0
126,126,28.023492407781937,22.88972837862729,22.112757724439867,4.992148399353027,8.052214622497559,5.410757541656494,gan,candidateB_factorial_grad_levelset_expanded2688,cnn,cnn,0
