sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateE2_tf_lowlambda_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateE2_tf_lowlambda_expanded2688,pd_winner_before,pd_winner_after_candidateE2_tf_lowlambda_expanded2688,mt_winner_before,mt_winner_after_candidateE2_tf_lowlambda_expanded2688,was_mt_gan_win_before
80,80,30.086252753371088,20.744918439924255,26.229856742647282,6.982686519622803,6.176682472229004,4.933230400085449,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
81,81,29.68907403762892,20.982889067881906,25.884009473559903,6.426537990570068,7.567525863647461,5.102026462554932,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
82,82,28.90089773637945,20.81634708740007,25.666920659123324,7.1840739250183105,6.303605079650879,5.62615442276001,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
83,83,28.194313716720707,21.794751727168247,25.484160943627185,6.560110569000244,6.599743366241455,5.179192543029785,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
84,84,29.14514380262554,21.106373639070085,25.7006657660828,5.271510124206543,8.559276580810547,5.324461936950684,gan,gan,cnn,cnn,0
85,85,28.72250736297703,20.7490839418831,25.615004940060288,5.609640121459961,7.718591690063477,5.572508335113525,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
86,86,29.195361276159034,18.84606490909817,25.81315195101746,5.25334358215332,9.43416690826416,5.875936985015869,gan,gan,cnn,cnn,0
87,87,29.611902358359767,19.024115372275585,25.96664045756736,6.509652614593506,7.174471855163574,6.129448890686035,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
88,88,26.37509421416108,18.396084436387564,22.755906696075154,6.411813259124756,6.487721920013428,5.333987236022949,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
89,89,24.29846982632471,17.197907308437554,21.426630043728267,6.017302513122559,6.256072521209717,5.031299591064453,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
90,90,22.206834090995343,17.32676746960286,19.652162414624183,5.257880687713623,5.663510322570801,4.823365211486816,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
91,91,22.30942508877806,16.266054339767617,19.31668856779522,5.508337497711182,5.519831657409668,5.063693046569824,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
92,92,22.07932597419188,16.807703363287136,19.536621072862147,5.735818386077881,5.677903175354004,5.070490837097168,gan,gan,gan,candidateE2_tf_lowlambda_expanded2688,1
93,93,24.402894658345392,18.13548367922437,21.84859733580387,6.506997585296631,6.816009521484375,6.023197174072266,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
94,94,24.570031527820365,20.006869187749356,23.589835874501986,5.102908611297607,6.517361164093018,5.2603759765625,gan,gan,cnn,cnn,0
95,95,26.879696075655563,20.637912890931716,24.42685774922871,5.015480041503906,6.677723407745361,5.429013729095459,gan,gan,cnn,cnn,0
96,96,28.904715116511554,22.25070627382419,26.177608200252852,5.121858596801758,7.258078575134277,5.451853275299072,gan,gan,cnn,cnn,0
97,97,30.15308546680866,22.202351461270364,27.283730424943478,5.011539936065674,7.223494529724121,5.015932559967041,gan,gan,cnn,cnn,0
98,98,31.264551411001506,23.055714774434993,27.77926039446226,4.942448139190674,8.764951705932617,5.271209239959717,gan,gan,cnn,cnn,0
99,99,30.940933752807226,20.998202000997363,27.731592696695333,5.342334747314453,7.760592460632324,5.6970391273498535,gan,gan,cnn,cnn,0
100,100,31.181555022619012,20.891681214618057,27.711109968713235,5.912055015563965,7.617006778717041,4.813135147094727,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
101,101,30.40796712150836,20.937383941054357,26.859259519777286,5.357294082641602,7.0666680335998535,5.130790710449219,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
102,102,29.254680859214627,20.257793175726828,25.720605896867596,5.164434909820557,8.231893539428711,5.220203876495361,gan,gan,cnn,cnn,0
103,103,29.507549938987374,20.69051451494371,26.25853611175609,5.102769374847412,6.314839839935303,5.0521979331970215,gan,gan,cnn,candidateE2_tf_lowlambda_expanded2688,0
104,104,29.173745320955113,20.12992358587829,26.485408908414534,4.829194068908691,7.393864154815674,4.924877166748047,gan,gan,cnn,cnn,0
