sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_expanded2688,was_mt_gan_win_before
149,149,25.194205211404583,21.36081867901896,28.536935335063436,5.752551078796387,8.038224220275879,6.138179779052734,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,27.015112932457736,5.291886329650879,7.924254417419434,6.3931803703308105,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,26.122102490583007,5.580901145935059,7.460690975189209,6.250824451446533,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,25.921210934893118,5.931854248046875,8.478921890258789,6.243393898010254,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,25.370272859931998,6.290019989013672,6.548172950744629,6.526215553283691,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,24.69041988499934,5.889771461486816,5.736759185791016,6.4284348487854,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,25.091303798550527,6.413660526275635,6.612644195556641,6.431551933288574,gan,gan,cnn,cnn,0
156,156,25.16401321091786,17.879759557761357,26.088992029733127,5.162914276123047,9.264598846435547,5.335087299346924,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,27.381493059402317,4.567626476287842,8.282842636108398,4.971442699432373,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,29.730334824256175,5.708489894866943,8.312358856201172,5.902673721313477,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,26.7962324837199,5.012121677398682,10.700226783752441,4.942690849304199,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
160,160,21.188537318324133,20.14027527603938,24.644973592369602,5.1832075119018555,13.9108247756958,5.192333221435547,gan,gan,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,23.491988271214986,5.7158894538879395,11.7100830078125,4.727914333343506,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
162,162,18.27105324592802,19.457879947992573,23.385009751591237,4.5405659675598145,9.695740699768066,4.432369232177734,cnn,cnn,cnn,candidateB_factorial_speed_expanded2688,0
163,163,19.37037318892002,20.44637029980189,24.31537084676272,5.698920726776123,6.788956165313721,5.037720203399658,cnn,cnn,cnn,candidateB_factorial_speed_expanded2688,0
164,164,21.46365087746109,18.82963529736202,26.09863716459571,5.2430009841918945,10.968896865844727,5.226180076599121,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
165,165,22.937888715207535,20.548745956267595,27.77886019002828,5.059387683868408,11.26945972442627,5.179836273193359,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,28.852828100031882,6.106489181518555,10.583955764770508,5.730816841125488,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
167,167,23.479887971191566,21.661112948338108,28.779129704551355,5.800627708435059,7.244186878204346,4.945366859436035,gan,gan,cnn,candidateB_factorial_speed_expanded2688,0
