method_id,metric,field,phase1_value,phase2a_recomputed_value,absolute_difference,status
bicubic,exceed_abs_t5,mean_improvement_delta,-0.0052134285714285755,-0.005213428571428575,8.673617379884035e-19,PASS
bicubic,exceed_abs_t5,median_improvement_delta,-0.005431999999999992,-0.005431999999999992,0.0,PASS
bicubic,exceed_abs_t5,n_improved,17,17,0.0,PASS
bicubic,exceed_abs_t5,n_worsened,151,151,0.0,PASS
bicubic,exceed_abs_t5,n_tied,0,0,0.0,PASS
bicubic,exceed_abs_t5,n_valid,168,168,0.0,PASS
bicubic,exceed_abs_t10,cnn_mean,0.006580809523809519,0.006580809523809515,4.336808689942018e-18,PASS
bicubic,exceed_abs_t10,candidate_mean,0.00851180952380952,0.008511809523809527,6.938893903907228e-18,PASS
bicubic,exceed_abs_t10,mean_raw_delta,0.0019310000000000009,0.0019310000000000015,6.505213034913027e-19,PASS
bicubic,exceed_abs_t10,mean_improvement_delta,-0.0019310000000000009,-0.0019310000000000015,6.505213034913027e-19,PASS
bicubic,exceed_abs_t10,median_improvement_delta,-0.0013100000000000056,-0.0013100000000000056,0.0,PASS
bicubic,exceed_abs_t10,n_improved,55,55,0.0,PASS
bicubic,exceed_abs_t10,n_worsened,113,113,0.0,PASS
bicubic,exceed_abs_t10,n_tied,0,0,0.0,PASS
bicubic,exceed_abs_t10,n_valid,168,168,0.0,PASS
bicubic,exceed_abs_t15,cnn_mean,0.0062105,0.0062104999999999955,4.336808689942018e-18,PASS
bicubic,exceed_abs_t15,candidate_mean,0.007366833333333333,0.0073668333333333355,2.6020852139652106e-18,PASS
bicubic,exceed_abs_t15,mean_raw_delta,0.0011563333333333339,0.0011563333333333339,0.0,PASS
bicubic,exceed_abs_t15,mean_improvement_delta,-0.0011563333333333339,-0.0011563333333333339,0.0,PASS
bicubic,exceed_abs_t15,median_improvement_delta,-0.0007660000000000193,-0.0007660000000000193,0.0,PASS
bicubic,exceed_abs_t15,n_improved,59,59,0.0,PASS
bicubic,exceed_abs_t15,n_worsened,108,108,0.0,PASS
bicubic,exceed_abs_t15,n_tied,1,1,0.0,PASS
bicubic,exceed_abs_t15,n_valid,168,168,0.0,PASS
bicubic,exceed_abs_p90,cnn_mean,0.010253619047619053,0.010253619047619051,1.734723475976807e-18,PASS
