=== CONFIG ===
rows=50 methods=['cnn', 'gan']
physics_columns=35

=== GLOBAL correlations (physics vs PSNR/PD/MT) ===
  exceed_frac_sr_t5 :: MT: pearson=0.0381 CI[-0.3368,0.3459] spearman=-0.3231 CI[-0.6279,0.1023]
  exceed_frac_delta_t5 :: PSNR: pearson=-0.8034 CI[-0.9267,-0.6728] spearman=-0.8154 CI[-0.9203,-0.6254]
  exceed_frac_delta_t5 :: PD: pearson=-0.2487 CI[-0.5809,0.0910] spearman=-0.4254 CI[-0.7031,-0.0222]
  exceed_frac_delta_t5 :: MT: pearson=-0.1523 CI[-0.5286,0.1674] spearman=-0.3608 CI[-0.7167,0.0831]
  exceed_frac_abs_delta_t5 :: PSNR: pearson=0.7543 CI[0.5927,0.9028] spearman=0.7708 CI[0.5585,0.8895]
  exceed_frac_abs_delta_t5 :: PD: pearson=0.1103 CI[-0.2132,0.4810] spearman=0.2400 CI[-0.1644,0.5713]
  exceed_frac_abs_delta_t5 :: MT: pearson=0.0134 CI[-0.2970,0.4203] spearman=0.1138 CI[-0.3086,0.5075]
  exceed_frac_gt_t10 :: PSNR: pearson=-0.7723 CI[-0.9007,-0.5187] spearman=-0.7000 CI[-0.9274,-0.3045]
  exceed_frac_gt_t10 :: PD: pearson=0.3920 CI[0.0539,0.6293] spearman=0.3492 CI[-0.0446,0.6656]
  exceed_frac_gt_t10 :: MT: pearson=0.3127 CI[0.0096,0.5323] spearman=0.3146 CI[-0.0742,0.6238]
  exceed_frac_sr_t10 :: PSNR: pearson=-0.9005 CI[-0.9625,-0.7943] spearman=-0.8115 CI[-0.9594,-0.5288]
  exceed_frac_sr_t10 :: PD: pearson=0.0377 CI[-0.3478,0.3734] spearman=-0.1085 CI[-0.5258,0.3437]
  exceed_frac_sr_t10 :: MT: pearson=-0.0470 CI[-0.4095,0.2917] spearman=-0.2915 CI[-0.6592,0.2018]
  exceed_frac_delta_t10 :: PSNR: pearson=-0.8012 CI[-0.9039,-0.6758] spearman=-0.8238 CI[-0.9413,-0.5983]
  exceed_frac_delta_t10 :: PD: pearson=-0.2452 CI[-0.5753,0.1051] spearman=-0.2438 CI[-0.6132,0.1957]
  exceed_frac_delta_t10 :: MT: pearson=-0.3154 CI[-0.6296,0.0289] spearman=-0.3731 CI[-0.7189,0.0901]
  exceed_frac_abs_delta_t10 :: PSNR: pearson=-0.1652 CI[-0.4715,0.2228] spearman=-0.0531 CI[-0.4933,0.4115]
