sample_idx,delta_metric,abs_delta_metric,delta_pd,delta_mt,z_delta_pd,z_delta_mt,topology_score,topology_consistent
13,0.10192863143135689,0.10192863143135689,-5.609295647934971,-7.944742202758789,1.6316025247278187,1.7610660712431156,1.7610660712431156,True
141,0.09768263722415005,0.09768263722415005,-6.0403216929852235,-4.391040325164795,1.7569771220868189,0.9733370746029779,1.7569771220868189,True
134,0.11608540475343243,0.11608540475343243,-6.0330662798448955,-4.411177635192871,1.7548667055317455,0.9778007982269156,1.7548667055317455,True
29,0.03348150669774455,0.03348150669774455,0.02954005046774455,7.791347503662109,0.008592455086852635,1.7270639358441968,1.7270639358441968,True
54,0.1393939196808056,0.1393939196808056,-5.826225149982594,-2.3453617095947266,1.69470184154831,0.5198830655733265,1.69470184154831,True
142,0.07843871387368195,0.07843871387368195,-5.7482931948610485,-7.354995250701904,1.6720334028148123,1.6303401997949805,1.6720334028148123,True
26,0.00666182908671753,0.00666182908671753,-0.08930855222064338,7.525998115539551,0.025977603683027917,1.6682454377077196,1.6682454377077196,False
99,0.12010550968246919,0.12010550968246919,-5.563593722076575,-7.096593856811523,1.6183089880173882,1.5730618242443857,1.6183089880173882,True
23,0.05994670249567979,0.05994670249567979,5.54724344274409,1.5419397354125977,1.6135531044424676,0.3417930604461625,1.6135531044424676,True
5,0.06369176661872283,0.06369176661872283,-4.737014178659571,-7.241649627685547,1.3778778617985288,1.605215516586417,1.605215516586417,True
55,0.14658623621574413,0.14658623621574413,-5.438746381383552,-5.86595344543457,1.5819940477707848,1.3002727243508667,1.5819940477707848,True
22,0.06371920718532575,0.06371920718532575,-5.26145201740696,-1.1666693687438965,1.5304235922197897,0.25860900067217435,1.5304235922197897,True
0,0.04691634186451499,0.04691634186451499,3.796689720926416,-6.843816757202148,1.104361210939601,1.5170301541979074,1.5170301541979074,False
53,0.1530028594272414,0.1530028594272414,-5.20784033792496,-3.756105422973633,1.5148293078233286,0.8325946458167244,1.5148293078233286,True
52,0.14789758972423872,0.14789758972423872,-4.900033739019378,-4.347179412841797,1.4252961372750586,0.9636146742311976,1.4252961372750586,True
12,0.07359729627230782,0.07359729627230782,-4.394534682280451,-6.428981781005859,1.2782592205230596,1.4250760311943254,1.4250760311943254,True
30,0.02760425619769566,0.02760425619769566,0.21615438609627802,6.385284423828125,0.06287385515425903,1.4153898851665818,1.4153898851665818,True
136,0.13556599395787555,0.13556599395787555,-4.435637097452457,-6.272200107574463,1.2902148756669891,1.3903231243502399,1.3903231243502399,True
31,0.017267167395925237,0.017267167395925237,0.09390348080447097,6.174263954162598,0.027314152431546307,1.3686141711180249,1.3686141711180249,True
1,0.03417506572686135,0.03417506572686135,3.12523219256175,-6.117746829986572,0.9090511636022653,1.3560863398441452,1.3560863398441452,False
24,0.03543799080514748,0.03543799080514748,4.6274325607554445,1.1126928329467773,1.346003335002646,0.24664432725551674,1.346003335002646,True
152,0.04392231312642744,0.04392231312642744,4.605073698687995,-1.591416358947754,1.339499706367432,0.35276026376173086,1.339499706367432,False
135,0.1192027748556676,0.1192027748556676,-4.295268565888136,-3.061957359313965,1.2493852127525382,0.6787267704178652,1.2493852127525382,True
3,0.031619421390417624,0.031619421390417624,0.6044468126102558,-5.352653503417969,0.17581832148242107,1.1864924292592778,1.1864924292592778,False
145,0.07320686121966397,0.07320686121966397,4.054831422445396,-0.5344047546386719,1.1794481163857347,0.11845847954366161,1.1794481163857347,False
34,0.032285130619075036,0.032285130619075036,0.017672874971893293,5.211324691772461,0.005140593263960984,1.155164870890979,1.155164870890979,True
154,0.08146670110895826,0.08146670110895826,2.046242443066216,-5.064479827880859,0.595200279297306,1.1226146004182613,1.1226146004182613,False
27,0.013202808341437833,0.013202808341437833,-0.024819303934805248,4.913753509521484,0.007219309072596916,1.0892039498858992,1.0892039498858992,False
