sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_grad_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_grad_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_grad_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_grad_expanded2688,was_mt_gan_win_before
142,142,31.864668972443802,25.40867751345393,30.94820786656608,7.186554908752441,8.55953311920166,7.682909965515137,gan,gan,cnn,cnn,0
143,143,31.729557469133276,25.608920781987035,30.104878592526543,5.864097595214844,9.649337768554688,6.9191670417785645,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,30.906313066629327,5.560759544372559,9.771649360656738,6.376672267913818,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,32.0072971828759,5.902344226837158,8.558032035827637,5.9137983322143555,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,30.22682490406675,5.959416389465332,7.056334018707275,6.7411208152771,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,28.678817055644355,5.6108717918396,6.8347039222717285,6.324565410614014,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,27.695527891950523,5.0148024559021,8.882506370544434,6.04164457321167,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,25.69261512299061,5.752551078796387,8.038224220275879,6.311376571655273,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,23.83683819431795,5.291886329650879,7.924254417419434,5.473392486572266,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,22.150696366503166,5.580901145935059,7.460690975189209,6.1163740158081055,gan,gan,cnn,cnn,0
