sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateUV_expanded1344,mt_distance_cnn,mt_distance_gan,mt_distance_candidateUV_expanded1344,pd_winner_before,pd_winner_after_candidateUV_expanded1344,mt_winner_before,mt_winner_after_candidateUV_expanded1344,was_mt_gan_win_before
129,129,29.465245102227872,24.209883048645104,31.868149130682095,5.373117923736572,9.33877944946289,6.020057678222656,gan,gan,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,31.796813356512487,5.609683513641357,11.313863754272461,5.336158275604248,gan,gan,cnn,candidateUV_expanded1344,0
131,131,33.0539968727652,25.23355611194131,34.22645237041813,6.2030792236328125,12.011610984802246,6.993814468383789,gan,gan,cnn,cnn,0
132,132,33.926806040190684,25.90821112354989,35.637939177634806,6.331444263458252,12.388164520263672,7.018519878387451,gan,gan,cnn,cnn,0
133,133,34.52507377701583,25.596877045000497,36.14539159262731,6.299666404724121,7.647167682647705,6.343080520629883,gan,gan,cnn,cnn,0
134,134,32.518921837890055,23.04058254540847,33.5735347653162,7.141453742980957,13.276667594909668,6.106741428375244,gan,gan,cnn,candidateUV_expanded1344,0
135,135,29.944179549584543,20.502693507156053,31.159245892092695,6.298990726470947,11.993122100830078,6.433861255645752,gan,gan,cnn,cnn,0
136,136,27.83279512215704,19.71188765946126,29.027991822860383,6.232182025909424,6.450465202331543,6.150330543518066,gan,gan,cnn,candidateUV_expanded1344,0
137,137,26.69652879915387,18.35521341147029,27.700908978503676,5.208233833312988,9.66958236694336,4.72192907333374,gan,gan,cnn,candidateUV_expanded1344,0
138,138,26.265900126493325,18.5898403985513,26.924189962019728,5.562473773956299,8.217479705810547,4.518279552459717,gan,gan,cnn,candidateUV_expanded1344,0
139,139,25.72843674372112,17.55339321269266,26.042476825323753,5.6482439041137695,9.790724754333496,4.670371055603027,gan,gan,cnn,candidateUV_expanded1344,0
140,140,26.928885115678263,17.632487734588345,27.45770617937102,5.719569206237793,11.421890258789062,5.147224426269531,gan,gan,cnn,candidateUV_expanded1344,0
141,141,30.122683212798776,22.35126448334632,31.985597305435878,6.186624050140381,8.889102935791016,6.4582672119140625,gan,gan,cnn,cnn,0
142,142,31.864668972443802,25.40867751345393,35.31264498199874,7.186554908752441,8.55953311920166,6.589077949523926,gan,gan,cnn,candidateUV_expanded1344,0
143,143,31.729557469133276,25.608920781987035,34.00438849450358,5.864097595214844,9.649337768554688,5.867978572845459,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,33.80601673925026,5.560759544372559,9.771649360656738,5.632149696350098,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,33.16240154133329,5.902344226837158,8.558032035827637,5.956031799316406,gan,gan,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,32.34645591027135,5.959416389465332,7.056334018707275,6.7003679275512695,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,30.4776664718438,5.6108717918396,6.8347039222717285,6.85330867767334,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,29.034612468943685,5.0148024559021,8.882506370544434,5.571587562561035,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,28.599543109161544,5.752551078796387,8.038224220275879,6.425429344177246,gan,gan,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,26.75278564971797,5.291886329650879,7.924254417419434,6.546438694000244,gan,gan,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,26.152432494545266,5.580901145935059,7.460690975189209,6.2353434562683105,gan,gan,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,25.99719935593775,5.931854248046875,8.478921890258789,6.174386024475098,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,25.545016984922356,6.290019989013672,6.548172950744629,6.618076324462891,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,24.86949229812676,5.889771461486816,5.736759185791016,5.9698920249938965,gan,gan,gan,gan,1
155,155,26.088776073112513,17.444078563809867,25.387527461943094,6.413660526275635,6.612644195556641,6.480545520782471,gan,gan,cnn,cnn,0
156,156,25.16401321091786,17.879759557761357,26.209279248069947,5.162914276123047,9.264598846435547,5.512438774108887,gan,gan,cnn,cnn,0
157,157,25.57399551509901,18.686237526393793,27.52629404539983,4.567626476287842,8.282842636108398,5.275645732879639,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,29.706826121557626,5.708489894866943,8.312358856201172,5.84639310836792,gan,gan,cnn,cnn,0
159,159,24.310343375521082,19.84507792462866,26.953665701292387,5.012121677398682,10.700226783752441,4.958802700042725,gan,gan,cnn,candidateUV_expanded1344,0
160,160,21.188537318324133,20.14027527603938,24.58831392928866,5.1832075119018555,13.9108247756958,5.220323085784912,gan,gan,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,23.54923773171007,5.7158894538879395,11.7100830078125,4.524503707885742,gan,gan,cnn,candidateUV_expanded1344,0
162,162,18.27105324592802,19.457879947992573,23.13983771080058,4.5405659675598145,9.695740699768066,4.332815170288086,cnn,cnn,cnn,candidateUV_expanded1344,0
163,163,19.37037318892002,20.44637029980189,24.586827678102118,5.698920726776123,6.788956165313721,4.9445977210998535,cnn,cnn,cnn,candidateUV_expanded1344,0
164,164,21.46365087746109,18.82963529736202,26.229806343608868,5.2430009841918945,10.968896865844727,5.601778984069824,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,27.9374830532036,5.059387683868408,11.26945972442627,5.158682346343994,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,29.061736922158516,6.106489181518555,10.583955764770508,5.765997409820557,gan,gan,cnn,candidateUV_expanded1344,0
167,167,23.479887971191566,21.661112948338108,28.950837018603202,5.800627708435059,7.244186878204346,5.857432842254639,gan,gan,cnn,cnn,0
