sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateF_grad_crit_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateF_grad_crit_expanded2688,pd_winner_before,pd_winner_after_candidateF_grad_crit_expanded2688,mt_winner_before,mt_winner_after_candidateF_grad_crit_expanded2688,was_mt_gan_win_before
109,109,28.97319829057234,20.853111383838083,22.3279649349296,5.088190078735352,7.198193550109863,5.466322422027588,gan,gan,cnn,cnn,0
110,110,29.504241915198808,19.600364202728887,22.880394402055106,5.806641101837158,6.568319320678711,6.384776592254639,gan,gan,cnn,cnn,0
111,111,28.17742348677506,18.815230764049467,21.49292783274016,5.513612270355225,8.167459487915039,5.965078830718994,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,21.062352161876635,5.637857913970947,6.682409286499023,6.130109786987305,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,19.745746353039735,5.502909183502197,6.949485778808594,6.042407989501953,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,18.791601395985325,5.123978614807129,5.899235248565674,6.255071640014648,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,19.605381252354675,4.689971923828125,7.232174873352051,5.746787071228027,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,20.20040173826872,5.35050630569458,7.636551856994629,6.154682159423828,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,21.525007983519075,5.260716915130615,8.683184623718262,7.039586544036865,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,23.5163619803175,6.84329080581665,9.465571403503418,7.04500150680542,gan,gan,cnn,cnn,0
119,119,27.187847892928154,20.557132674744736,23.0242340267416,5.218785285949707,6.129123687744141,6.517436504364014,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,23.301101241214702,4.889072418212891,7.93386173248291,6.621406078338623,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,23.450596401488756,5.373913288116455,7.535200595855713,5.530518054962158,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,23.035514389115175,5.264456272125244,7.450175762176514,6.143247604370117,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,22.54082008082069,6.196282386779785,8.431406021118164,6.201117038726807,gan,gan,cnn,cnn,0
124,124,28.184626374879375,22.119830159019614,22.263434640479154,6.166434288024902,6.818744659423828,5.898377418518066,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
125,125,28.43981263564626,21.313574573250694,21.331174688170087,5.748098373413086,10.086677551269531,5.212900638580322,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
126,126,28.023492407781937,22.88972837862729,21.465872487639494,4.992148399353027,8.052214622497559,4.98514986038208,gan,candidateF_grad_crit_expanded2688,cnn,candidateF_grad_crit_expanded2688,0
127,127,30.000730217921266,24.85609607980766,22.83494864885687,5.114649772644043,13.074076652526855,5.047026634216309,gan,candidateF_grad_crit_expanded2688,cnn,candidateF_grad_crit_expanded2688,0
128,128,28.391923421353447,23.315252316365218,22.6437999088757,5.476268768310547,7.28298807144165,4.7726240158081055,gan,candidateF_grad_crit_expanded2688,cnn,candidateF_grad_crit_expanded2688,0
129,129,29.465245102227872,24.209883048645104,23.162913851373908,5.373117923736572,9.33877944946289,6.205707550048828,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
130,130,30.27324308013254,23.783031491875988,23.95283944430007,5.609683513641357,11.313863754272461,5.137269020080566,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
131,131,33.0539968727652,25.23355611194131,25.802237317472844,6.2030792236328125,12.011610984802246,6.008798122406006,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
132,132,33.926806040190684,25.90821112354989,27.181749130404896,6.331444263458252,12.388164520263672,6.194146633148193,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
133,133,34.52507377701583,25.596877045000497,27.702993094245834,6.299666404724121,7.647167682647705,5.690281391143799,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
134,134,32.518921837890055,23.04058254540847,25.210729769119336,7.141453742980957,13.276667594909668,5.5613694190979,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
135,135,29.944179549584543,20.502693507156053,23.447465721091845,6.298990726470947,11.993122100830078,5.495373249053955,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
136,136,27.83279512215704,19.71188765946126,22.010219844815953,6.232182025909424,6.450465202331543,5.812249660491943,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
137,137,26.69652879915387,18.35521341147029,21.190329262718567,5.208233833312988,9.66958236694336,4.659278869628906,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
138,138,26.265900126493325,18.5898403985513,20.598992713818095,5.562473773956299,8.217479705810547,4.727851390838623,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
139,139,25.72843674372112,17.55339321269266,20.123387824412617,5.6482439041137695,9.790724754333496,4.826382160186768,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
140,140,26.928885115678263,17.632487734588345,21.1089156168761,5.719569206237793,11.421890258789062,5.1123857498168945,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
141,141,30.122683212798776,22.35126448334632,24.62953846388236,6.186624050140381,8.889102935791016,5.679080009460449,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
142,142,31.864668972443802,25.40867751345393,27.651645905457112,7.186554908752441,8.55953311920166,6.098798751831055,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
143,143,31.729557469133276,25.608920781987035,26.25756911725056,5.864097595214844,9.649337768554688,6.403392791748047,gan,gan,cnn,cnn,0
144,144,31.838603860361527,24.790495069985838,26.085415974507036,5.560759544372559,9.771649360656738,5.904984474182129,gan,gan,cnn,cnn,0
145,145,30.39245353837724,25.26410594488553,25.149050457476477,5.902344226837158,8.558032035827637,5.923836708068848,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
146,146,29.28670842660694,23.86618294113101,24.266279104470144,5.959416389465332,7.056334018707275,6.874425888061523,gan,gan,cnn,cnn,0
147,147,26.585106339400784,22.003227031713678,22.88503581251606,5.6108717918396,6.8347039222717285,6.238184452056885,gan,gan,cnn,cnn,0
148,148,26.258461074996504,21.1331690923618,21.96432737729912,5.0148024559021,8.882506370544434,5.927664756774902,gan,gan,cnn,cnn,0
149,149,25.194205211404583,21.36081867901896,20.98148046368999,5.752551078796387,8.038224220275879,6.257854461669922,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
150,150,24.128591365700505,20.19277068635915,20.119209506433826,5.291886329650879,7.924254417419434,5.683773517608643,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
151,151,24.240085612250784,19.596870056685123,19.371796238609765,5.580901145935059,7.460690975189209,6.3638763427734375,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
152,152,24.594151699851988,17.338820427078797,19.096133119820955,5.931854248046875,8.478921890258789,6.205476760864258,gan,gan,cnn,cnn,0
153,153,25.168802860244767,16.23765159094386,18.79778517744101,6.290019989013672,6.548172950744629,6.637914657592773,gan,gan,cnn,cnn,0
154,154,25.31020070022765,16.834477000311573,18.930220593335644,5.889771461486816,5.736759185791016,5.577037334442139,gan,gan,gan,candidateF_grad_crit_expanded2688,1
155,155,26.088776073112513,17.444078563809867,19.277430085478827,6.413660526275635,6.612644195556641,5.389296531677246,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
156,156,25.16401321091786,17.879759557761357,19.827649187162535,5.162914276123047,9.264598846435547,4.942954063415527,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
157,157,25.57399551509901,18.686237526393793,20.914473593825544,4.567626476287842,8.282842636108398,4.7340826988220215,gan,gan,cnn,cnn,0
158,158,27.076784963721764,22.72289165286213,22.956733683130903,5.708489894866943,8.312358856201172,5.506909370422363,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
159,159,24.310343375521082,19.84507792462866,20.763626646751074,5.012121677398682,10.700226783752441,6.550915718078613,gan,gan,cnn,cnn,0
160,160,21.188537318324133,20.14027527603938,18.736395535671623,5.1832075119018555,13.9108247756958,5.7557525634765625,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
161,161,19.540402210515502,19.232825594053608,18.275565671830982,5.7158894538879395,11.7100830078125,6.064383029937744,gan,candidateF_grad_crit_expanded2688,cnn,cnn,0
162,162,18.27105324592802,19.457879947992573,17.682155841440434,4.5405659675598145,9.695740699768066,4.915431499481201,cnn,candidateF_grad_crit_expanded2688,cnn,cnn,0
163,163,19.37037318892002,20.44637029980189,18.754514940922093,5.698920726776123,6.788956165313721,5.374610424041748,cnn,candidateF_grad_crit_expanded2688,cnn,candidateF_grad_crit_expanded2688,0
164,164,21.46365087746109,18.82963529736202,19.914897534174965,5.2430009841918945,10.968896865844727,5.636256694793701,gan,gan,cnn,cnn,0
165,165,22.937888715207535,20.548745956267595,21.097598749168206,5.059387683868408,11.26945972442627,5.4849467277526855,gan,gan,cnn,cnn,0
166,166,23.890736675966988,20.79692555045691,22.157256227221605,6.106489181518555,10.583955764770508,5.419978618621826,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
167,167,23.479887971191566,21.661112948338108,22.35526156692982,5.800627708435059,7.244186878204346,5.208653926849365,gan,gan,cnn,candidateF_grad_crit_expanded2688,0
