sample_idx,pos_idx,pd_distance_cnn,pd_distance_gan,pd_distance_candidateB_factorial_speed_levelset_expanded2688,mt_distance_cnn,mt_distance_gan,mt_distance_candidateB_factorial_speed_levelset_expanded2688,pd_winner_before,pd_winner_after_candidateB_factorial_speed_levelset_expanded2688,mt_winner_before,mt_winner_after_candidateB_factorial_speed_levelset_expanded2688,was_mt_gan_win_before
111,111,28.17742348677506,18.815230764049467,30.36203296944755,5.513612270355225,8.167459487915039,6.1269121170043945,gan,gan,cnn,cnn,0
112,112,27.49742127818127,19.372446559915602,29.827912419933522,5.637857913970947,6.682409286499023,6.195555686950684,gan,gan,cnn,cnn,0
113,113,26.010710160777133,18.415536047943895,28.610216651194904,5.502909183502197,6.949485778808594,5.92955207824707,gan,gan,cnn,cnn,0
114,114,24.541486090961616,16.84887862793787,27.387455125273963,5.123978614807129,5.899235248565674,5.687033176422119,gan,gan,cnn,cnn,0
115,115,25.270960377659716,17.25298248796687,27.74178518433019,4.689971923828125,7.232174873352051,5.414295673370361,gan,gan,cnn,cnn,0
116,116,25.095451409249726,17.129081493158413,28.703024095924548,5.35050630569458,7.636551856994629,5.440117359161377,gan,gan,cnn,cnn,0
117,117,27.14897424086504,18.592743212240446,30.055686412899483,5.260716915130615,8.683184623718262,5.7580366134643555,gan,gan,cnn,cnn,0
118,118,27.925806328570985,19.893975298384717,31.90823728330031,6.84329080581665,9.465571403503418,6.666720390319824,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
119,119,27.187847892928154,20.557132674744736,31.77999527928102,5.218785285949707,6.129123687744141,6.028454780578613,gan,gan,cnn,cnn,0
120,120,28.146732976702577,21.528863701574615,31.048873689261153,4.889072418212891,7.93386173248291,5.323445796966553,gan,gan,cnn,cnn,0
121,121,29.135888828595842,21.37188887795256,31.762216350315448,5.373913288116455,7.535200595855713,5.591558933258057,gan,gan,cnn,cnn,0
122,122,28.017758663142306,22.491589595860475,31.189774379741653,5.264456272125244,7.450175762176514,5.743377208709717,gan,gan,cnn,cnn,0
123,123,29.152924001075785,22.17220391892049,30.936131937920333,6.196282386779785,8.431406021118164,5.73992919921875,gan,gan,cnn,candidateB_factorial_speed_levelset_expanded2688,0
