method_id,metric_a,metric_b,correlation_type,observed_correlation,iid_ci95_low,iid_ci95_high,block6_ci95_low,block6_ci95_high,block12_ci95_low,block12_ci95_high,block24_ci95_low,block24_ci95_high,iid_sign,block6_sign,block12_sign,block24_sign,all_interval_signs_agree
c_e2,pd_distance,psd_log_l2,spearman,0.6729744230895774,0.5739199881270349,0.7519303130606666,0.43760682552819535,0.8118980403170859,0.36733325089166685,0.8251928947328209,0.39495459495136764,0.8202273375017574,positive,positive,positive,positive,True
c_e2,pd_distance,exceed_abs_p90,pearson,0.32156606267986537,0.14054860529789245,0.4759480188947356,-0.008658704152607031,0.5597794404942619,-0.048982875687073935,0.5407380008230728,-0.10242811271790263,0.5273919738951822,positive,includes_zero,includes_zero,includes_zero,False
c_e2,pd_distance,exceed_abs_p90,spearman,0.1780901745117045,0.021538687959397944,0.32243354180114864,-0.04009353374237424,0.39104732710947926,-0.06696159411847571,0.4024279756732012,-0.10813438685622383,0.39612596866547967,positive,includes_zero,includes_zero,includes_zero,False
c_e2,pd_distance,comp_curve_l1,pearson,0.29358975468044574,0.19248779567260016,0.3849432127123889,0.10335317807440399,0.5125562750413379,0.03435166675901579,0.5567672548681234,0.06408608448261971,0.6006291440583204,positive,positive,positive,positive,True
c_e2,pd_distance,comp_curve_l1,spearman,0.3573994269098075,0.22722843320691116,0.47089254491816906,0.10983913312286132,0.6051763442116396,0.022721603188995267,0.6305094809949418,0.053728017770666436,0.6681829500994454,positive,positive,positive,positive,True
c_e2,mt_distance,psnruv,pearson,-0.27214095216101275,-0.3949276589616835,-0.1444861681012103,-0.46189127170024447,-0.06565982054988453,-0.48836570761967285,-0.04216644013346042,-0.46954898657636707,-0.005614151217271996,negative,negative,negative,negative,True
c_e2,mt_distance,psnruv,spearman,-0.3004742838920637,-0.4320855448505537,-0.15619605286597843,-0.49985103536146225,-0.0504768995430997,-0.5109911633478941,-0.027705036203792163,-0.49205237309019667,0.022843273132804185,negative,negative,negative,includes_zero,False
c_e2,mt_distance,speed_mae,pearson,0.1940355849090006,0.026108953788149692,0.34050376569276586,-0.11791090128866893,0.45035227322600174,-0.16917908919032768,0.48716611550813615,-0.18423150922178266,0.5144140317703438,positive,includes_zero,includes_zero,includes_zero,False
c_e2,mt_distance,speed_mae,spearman,0.1447147969487905,-0.022453622743340004,0.2978659451058611,-0.14619992744170185,0.42904775418770313,-0.19594056317796654,0.48409673591815117,-0.21116342978475053,0.5190194187918006,includes_zero,includes_zero,includes_zero,includes_zero,True
c_e2,mt_distance,wpd_mae,pearson,0.2222912493835204,0.035450510070019293,0.3862672098996642,-0.16204977235833032,0.4996218111632393,-0.21600224585442684,0.5346461413410368,-0.20132510091874764,0.5430948790750472,positive,includes_zero,includes_zero,includes_zero,False
c_e2,mt_distance,wpd_mae,spearman,0.1182470224386392,-0.048322341770280254,0.2819824070544111,-0.17569271340123505,0.39995800871122994,-0.19959408285600633,0.44688694133882906,-0.19852447263832762,0.4771658401052442,includes_zero,includes_zero,includes_zero,includes_zero,True
c_e2,mt_distance,grad_mae,pearson,0.23571645133714267,0.06824164908583955,0.38267159514983545,-0.09139656068455469,0.4925254247839509,-0.16064892517831145,0.5310288799894518,-0.16280621577736376,0.5610436904378207,positive,includes_zero,includes_zero,includes_zero,False
c_e2,mt_distance,grad_mae,spearman,0.16790004099999495,0.004828199840695459,0.32412434872873486,-0.1355820164843913,0.4530713089656719,-0.19841975798340686,0.5094106508637906,-0.20328515066395952,0.5517612049127771,positive,includes_zero,includes_zero,includes_zero,False
c_e2,mt_distance,psd_log_l2,pearson,0.2680438155134633,0.12332805049237386,0.3912846253455923,0.009661686939013626,0.4617385759096731,-0.019330966944183826,0.4805770337608206,-0.03643840168974096,0.46146899160124893,positive,positive,includes_zero,includes_zero,False
c_e2,mt_distance,psd_log_l2,spearman,0.22562904621863628,0.07071050770930938,0.36253023238711024,-0.03461766995623824,0.4519569322357711,-0.055459996212807845,0.46996701729337015,-0.05732020154274188,0.4739472374436355,positive,includes_zero,includes_zero,includes_zero,False
c_e2,mt_distance,exceed_abs_p90,pearson,0.18456244383050413,0.00921863304965219,0.3475024043304043,-0.060116910331909135,0.37949766324211237,-0.12631962081664985,0.3655424566159892,-0.13609210571188213,0.3567623137913722,positive,includes_zero,includes_zero,includes_zero,False
c_e2,mt_distance,exceed_abs_p90,spearman,0.10302891104587726,-0.06511134725114767,0.2612532689991807,-0.09343162656407734,0.30305244635490197,-0.12599468427557178,0.3139412143581467,-0.13941180926405836,0.33051027237907477,includes_zero,includes_zero,includes_zero,includes_zero,True
c_e2,mt_distance,comp_curve_l1,pearson,-0.015899407346092086,-0.1495288982617744,0.11826947502347737,-0.21829222632770315,0.20330922990542055,-0.23465380933732968,0.24447445262680614,-0.23254681771751173,0.29935824081129936,includes_zero,includes_zero,includes_zero,includes_zero,True
