metric_a,metric_b,n_methods_available,pearson_median,pearson_q25,pearson_q75,pearson_min,pearson_max,pearson_n_positive,pearson_n_negative,spearman_median,spearman_q25,spearman_q75,spearman_min,spearman_max,spearman_n_positive,spearman_n_negative,interpretation_level
speed_rmse,grad_w1,19,0.9296139521879306,0.8685987293745779,0.9418786539587143,0.504139026647007,0.9511369340164789,19,0,0.9293079099619864,0.8712131949119513,0.9465747288179347,0.489623458071178,0.956428647354488,19,0,within_method_across_samples
speed_rmse,grad_kurtosis_abs_delta,19,-0.25946445558904296,-0.358243942465712,-0.22151397436440662,-0.39485638550710134,-0.105157594970414,0,19,-0.20593133260107005,-0.30011490122038254,-0.12771751509660306,-0.3451642783747804,-0.029727527194132446,0,19,within_method_across_samples
speed_rmse,psd_log_l2,19,0.7157168138692293,0.7091634000649879,0.7211459506229194,0.3142694789034705,0.7269695218937662,19,0,0.7154853437672415,0.7025513638825477,0.7193436457600437,0.3379563780300768,0.7308856505079444,19,0,within_method_across_samples
speed_rmse,psd_slope_abs_delta,19,0.2192874636554938,0.18359622049976398,0.2574592033497317,-0.051193379033470106,0.3536722471446405,18,1,0.2063615794615334,0.17542809562616102,0.25172351830573847,0.027199194172938992,0.3897808778048299,19,0,within_method_across_samples
speed_rmse,exceed_abs_t5,19,0.4001532175168687,-0.14853381790904568,0.5026662501010535,-0.3246255935001415,0.578240955206415,13,6,0.4099455672748408,-0.0631082390108642,0.4817897646490333,-0.2712667852408255,0.5669666583991779,13,6,within_method_across_samples
speed_rmse,exceed_abs_t10,19,-0.13838992954720156,-0.193742048698769,0.24350182008659532,-0.32291841814670647,0.6780257141630114,9,10,-0.19889616022543302,-0.2586711513230511,0.2379471318268418,-0.39072893355030675,0.705689262670402,9,10,within_method_across_samples
speed_rmse,exceed_abs_t15,19,0.736667245391411,0.5085697546153856,0.7735665610455551,0.21703078526456873,0.8137019387084612,19,0,0.7803215084972207,0.5544161732534814,0.8062273294242626,0.30021436471455554,0.831213417130456,19,0,within_method_across_samples
speed_rmse,exceed_abs_p90,19,0.5194322330801557,0.36640747202734514,0.5710224826638283,0.17995157257566283,0.6364844516402144,19,0,0.5565589759614004,0.35410797273986927,0.6179104715535935,0.1523800846567714,0.6697416740716072,19,0,within_method_across_samples
speed_rmse,comp_curve_l1,19,0.5861676756513116,0.5260980662013952,0.6048232696351423,0.30923739860878807,0.6202500484826785,19,0,0.627301757649123,0.5539209553209223,0.6460634966622985,0.32040747244792267,0.6699572344460855,19,0,within_method_across_samples
speed_rmse,comp_abs_t5,19,-0.3608181982940357,-0.38015153172489036,-0.3397410469370432,-0.5380002515361053,-0.30700229905090093,0,19,-0.38958881245049864,-0.3959752583695129,-0.3796673827558026,-0.5308420384549224,-0.35456888603947295,0,19,within_method_across_samples
