method_id,metric_a,metric_b,n_samples,status,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,interpretation_level
uv_crit,grad_kurtosis_abs_delta,exceed_abs_t15,168,available,-0.26757044938224694,-0.25515046944396297,-0.26757044938224694,-0.25515046944396297,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,exceed_abs_p90,168,available,-0.17868974649957647,-0.1608411120958403,-0.17868974649957647,-0.1608411120958403,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,comp_curve_l1,168,available,-0.35439324107547604,-0.30495135956994207,-0.35439324107547604,-0.30495135956994207,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,comp_abs_t5,168,available,-0.11255716071667368,-0.17186172242024872,-0.11255716071667368,-0.17186172242024872,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,comp_abs_t10,168,available,-0.3097292046115024,-0.3691288293989615,-0.3097292046115024,-0.3691288293989615,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,comp_abs_t15,168,available,-0.026715320094986016,0.03784742836740463,-0.026715320094986016,0.03784742836740463,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,pd_distance,168,available,-0.07839417794947542,-0.0582275854040018,-0.07839417794947542,-0.0582275854040018,within_method_across_samples
uv_crit,grad_kurtosis_abs_delta,mt_distance,168,available,0.07101429798999928,0.14534498205617505,0.07101429798999928,0.14534498205617505,within_method_across_samples
uv_crit,psd_log_l2,psd_slope_abs_delta,168,available,0.32456830862268427,0.3595952642474982,0.32456830862268427,0.3595952642474982,within_method_across_samples
uv_crit,psd_log_l2,exceed_abs_t5,168,available,0.40590272134230987,0.4310532133450869,0.40590272134230987,0.4310532133450869,within_method_across_samples
uv_crit,psd_log_l2,exceed_abs_t10,168,available,0.429720565477501,0.43476373723054185,0.429720565477501,0.43476373723054185,within_method_across_samples
uv_crit,psd_log_l2,exceed_abs_t15,168,available,0.09360099889275846,0.14168291165953584,0.09360099889275846,0.14168291165953584,within_method_across_samples
uv_crit,psd_log_l2,exceed_abs_p90,168,available,-0.08798568664212941,-0.07959865332094873,-0.08798568664212941,-0.07959865332094873,within_method_across_samples
uv_crit,psd_log_l2,comp_curve_l1,168,available,0.5164283010056745,0.5379952229733238,0.5164283010056745,0.5379952229733238,within_method_across_samples
uv_crit,psd_log_l2,comp_abs_t5,168,available,-0.35978569661509996,-0.4088205111900043,-0.35978569661509996,-0.4088205111900043,within_method_across_samples
uv_crit,psd_log_l2,comp_abs_t10,168,available,0.17531232647263081,0.21181298836249893,0.17531232647263081,0.21181298836249893,within_method_across_samples
uv_crit,psd_log_l2,comp_abs_t15,168,available,0.6944081046821581,0.6881342559048064,0.6944081046821581,0.6881342559048064,within_method_across_samples
uv_crit,psd_log_l2,pd_distance,168,available,0.6574882307725933,0.6851377549212648,0.6574882307725933,0.6851377549212648,within_method_across_samples
uv_crit,psd_log_l2,mt_distance,168,available,0.15964599348357095,0.1754015215553677,0.15964599348357095,0.1754015215553677,within_method_across_samples
uv_crit,psd_slope_abs_delta,exceed_abs_t5,168,available,0.28979796710786765,0.31642905003337585,0.28979796710786765,0.31642905003337585,within_method_across_samples
uv_crit,psd_slope_abs_delta,exceed_abs_t10,168,available,0.3887502624156651,0.2941209222988196,0.3887502624156651,0.2941209222988196,within_method_across_samples
uv_crit,psd_slope_abs_delta,exceed_abs_t15,168,available,0.22148507645586213,0.20072167629348645,0.22148507645586213,0.20072167629348645,within_method_across_samples
uv_crit,psd_slope_abs_delta,exceed_abs_p90,168,available,0.09841820811974836,0.09978493861832836,0.09841820811974836,0.09978493861832836,within_method_across_samples
uv_crit,psd_slope_abs_delta,comp_curve_l1,168,available,0.46624577488418056,0.4126139293706388,0.46624577488418056,0.4126139293706388,within_method_across_samples
uv_crit,psd_slope_abs_delta,comp_abs_t5,168,available,-0.06105564169723217,0.010432084256838172,-0.06105564169723217,0.010432084256838172,within_method_across_samples
uv_crit,psd_slope_abs_delta,comp_abs_t10,168,available,0.2801213758738037,0.27435486830862654,0.2801213758738037,0.27435486830862654,within_method_across_samples
uv_crit,psd_slope_abs_delta,comp_abs_t15,168,available,0.2497149225566882,0.24311091296180273,0.2497149225566882,0.24311091296180273,within_method_across_samples
uv_crit,psd_slope_abs_delta,pd_distance,168,available,0.13856520427657915,0.21220028244440958,0.13856520427657915,0.21220028244440958,within_method_across_samples
uv_crit,psd_slope_abs_delta,mt_distance,168,available,-0.2968146413377093,-0.29526323515268704,-0.2968146413377093,-0.29526323515268704,within_method_across_samples
uv_crit,exceed_abs_t5,exceed_abs_t10,168,available,0.026937647741712235,0.034068023423196536,0.026937647741712235,0.034068023423196536,within_method_across_samples
uv_crit,exceed_abs_t5,exceed_abs_t15,168,available,-0.01553834937762921,0.008874485443085228,-0.01553834937762921,0.008874485443085228,within_method_across_samples
uv_crit,exceed_abs_t5,exceed_abs_p90,168,available,-0.09942917842791488,-0.10113016441990814,-0.09942917842791488,-0.10113016441990814,within_method_across_samples
uv_crit,exceed_abs_t5,comp_curve_l1,168,available,0.5400733242723836,0.5601990289150726,0.5400733242723836,0.5601990289150726,within_method_across_samples
uv_crit,exceed_abs_t5,comp_abs_t5,168,available,-0.035968614338494194,-0.023958499577977008,-0.035968614338494194,-0.023958499577977008,within_method_across_samples
uv_crit,exceed_abs_t5,comp_abs_t10,168,available,0.6467692859136345,0.6631663143211446,0.6467692859136345,0.6631663143211446,within_method_across_samples
uv_crit,exceed_abs_t5,comp_abs_t15,168,available,0.13061248573091144,0.17662840440891345,0.13061248573091144,0.17662840440891345,within_method_across_samples
uv_crit,exceed_abs_t5,pd_distance,168,available,0.24092162951399304,0.2797568091354681,0.24092162951399304,0.2797568091354681,within_method_across_samples
uv_crit,exceed_abs_t5,mt_distance,168,available,0.2446670635205405,0.2348503973775642,0.2446670635205405,0.2348503973775642,within_method_across_samples
uv_crit,exceed_abs_t10,exceed_abs_t15,168,available,0.2934942406971187,0.34073085160574623,0.2934942406971187,0.34073085160574623,within_method_across_samples
