metric_a,metric_b,n_common_methods,raw_pearson,raw_spearman,oriented_pearson,oriented_spearman,loo_pearson_min,loo_pearson_max,loo_spearman_min,loo_spearman_max,pearson_sign_stable,spearman_sign_stable,interpretation_level
wpd_mae,exceed_abs_t5,19,0.13073347984680742,-0.3087719298245614,0.13073347984680742,-0.3087719298245614,-0.3399296460222291,0.17841684773399274,-0.5356037151702786,-0.26522187822497423,False,True,between_method_means
wpd_mae,exceed_abs_t10,19,0.8463939732904343,0.13333333333333333,0.8463939732904343,0.13333333333333333,0.22840488644329798,0.8830826869423195,-0.0196078431372549,0.19091847265221878,True,False,between_method_means
wpd_mae,exceed_abs_t15,19,0.6605613079212926,0.042105263157894736,0.6605613079212926,0.042105263157894736,0.23819902166822304,0.7081996185203617,-0.12693498452012383,0.10835913312693499,True,False,between_method_means
wpd_mae,exceed_abs_p90,19,0.6181725246405111,0.07719298245614035,0.6181725246405111,0.07719298245614035,0.3380886384827268,0.6687390258050396,-0.08565531475748193,0.14963880288957687,True,False,between_method_means
wpd_mae,comp_curve_l1,19,-0.06215477591146673,-0.43157894736842106,-0.06215477591146673,-0.43157894736842106,-0.2755196366598892,-0.018951680237204494,-0.6573787409700722,-0.36429308565531476,True,True,between_method_means
wpd_mae,comp_abs_t5,19,-0.7152237749997149,-0.5807017543859649,-0.7152237749997149,-0.5807017543859649,-0.8205084877732702,-0.16512494719728044,-0.8101135190918473,-0.5067079463364293,True,True,between_method_means
wpd_mae,comp_abs_t10,19,-0.695510457182094,-0.6508771929824562,-0.695510457182094,-0.6508771929824562,-0.8244605344329274,-0.31239061047861677,-0.8864809081527347,-0.5892672858617131,True,True,between_method_means
wpd_mae,comp_abs_t15,19,0.12646888702009507,-0.2929824561403509,0.12646888702009507,-0.2929824561403509,-0.2577155985558346,0.1745548352657311,-0.5170278637770898,-0.23839009287925697,False,True,between_method_means
wpd_mae,pd_distance,18,-0.3839888465672411,-0.4613003095975232,-0.3839888465672411,-0.4613003095975232,-0.48196967664985485,-0.18092028454206227,-0.5220588235294118,-0.3602941176470588,True,True,between_method_means
wpd_mae,mt_distance,18,0.7379361784694122,-0.29411764705882354,0.7379361784694122,-0.29411764705882354,-0.4737086205104907,0.8124573666786378,-0.5367647058823529,-0.22058823529411764,False,True,between_method_means
wpd_w1,wpd_bias_abs,19,0.9841160789719786,0.9596491228070175,0.9841160789719786,0.9596491228070175,0.9663730829834709,0.9871233321350343,0.9525283797729618,0.9690402476780186,True,True,between_method_means
wpd_w1,grad_mae,19,0.9223237655359189,0.724561403508772,0.9223237655359189,0.724561403508772,0.8579916638078787,0.9384781259294751,0.675954592363261,0.8369453044375645,True,True,between_method_means
wpd_w1,grad_w1,19,-0.03712233540902047,0.5157894736842106,-0.03712233540902047,0.5157894736842106,-0.28928146420057715,0.8226111280464071,0.4674922600619195,0.7832817337461301,False,True,between_method_means
wpd_w1,grad_kurtosis_abs_delta,19,0.4062168341721318,0.443859649122807,0.4062168341721318,0.443859649122807,0.28912239129254846,0.5887349242794445,0.35810113519091846,0.5624355005159959,True,True,between_method_means
wpd_w1,psd_log_l2,19,-0.12405989967354107,0.30701754385964913,-0.12405989967354107,0.30701754385964913,-0.40355546720752744,0.6651887104393827,0.2218782249742002,0.5376676986584107,False,True,between_method_means
